date,open,high,low,close,volume
2026-02-06,5.99,6.05,5.97,6.05,1117044.0
2026-02-09,6.08,6.08,6.04,6.05,933485.0
2026-02-10,6.07,6.08,6.04,6.04,980203.0
2026-02-11,6.07,6.08,6.02,6.04,791604.0
2026-02-12,6.07,6.0899,5.96,5.96,1159787.0
2026-02-13,6.0,6.015,5.9573,6.0,1005749.0
2026-02-17,5.97,6.02,5.97,5.99,1355799.0
2026-02-18,6.02,6.09,6.02,6.06,1612562.0
2026-02-19,6.05,6.06,6.01,6.06,987528.0
2026-02-20,6.05,6.08,6.01,6.03,1220251.0
2026-02-23,6.05,6.05,5.95,5.95,1250021.425781
2026-02-24,5.98,6.0,5.9601,5.99,789590.317981
2026-02-25,6.0,6.015,5.99,5.99,639345.68347
2026-02-26,6.0,6.0099,5.97,5.98,810834.254733
2026-02-27,5.95,6.0,5.95,5.99,955070.91849
2026-03-02,5.96,6.0,5.94,5.98,905238.07254
2026-03-03,5.94,5.955,5.84,5.9,2164790.328302
2026-03-04,5.94,5.98,5.9,5.98,1148655.282269
2026-03-05,5.97,5.97,5.88,5.88,1056410.625874
2026-03-06,5.86,5.8655,5.8,5.84,1207793.399722
2026-03-09,5.81,5.83,5.72,5.83,1987390.412435
2026-03-10,5.83,5.85,5.78,5.8,1136356.876704
2026-03-11,5.8,5.8213,5.74,5.74,1378217.955048
2026-03-12,5.73,5.73,5.67,5.68,1049498.571091
2026-03-13,5.7,5.73,5.62,5.62,1123028.6591
2026-03-16,5.67,5.74,5.67,5.71,1127635.521051
2026-03-17,5.71,5.76,5.71,5.72,1298237.509939
2026-03-18,5.7,5.7198,5.63,5.63,618805.032952
2026-03-19,5.61,5.63,5.58,5.6,688921.855794
2026-03-20,5.61,5.61,5.49,5.53,1215944.959807
2026-03-23,5.57,5.65,5.57,5.61,1410424.283364
2026-03-24,5.58,5.61,5.55,5.59,1281264.503259
2026-03-25,5.65,5.68,5.61,5.62,1306553.51688
2026-03-26,5.6,5.66,5.55,5.55,987817.970544
2026-03-27,5.55,5.5757,5.44,5.45,1672151.79992
2026-03-30,5.47,5.4999,5.4,5.41,1178758.914723
2026-03-31,5.46,5.585,5.46,5.55,1688391.957032
2026-04-01,5.6,5.65,5.59,5.63,959122.306387
2026-04-02,5.57,5.6,5.51,5.56,923981.916488
2026-04-06,5.61,5.63,5.575,5.63,1064968.06266
2026-04-07,5.58,5.62,5.5501,5.59,954846.475654
2026-04-08,5.7,5.75,5.7,5.75,1786978.397049
2026-04-09,5.75,5.8,5.72,5.8,1551562.901328
2026-04-10,5.78,5.7998,5.73,5.73,1005484.85478
2026-04-13,5.74,5.83,5.7007,5.83,1161771.145367
2026-04-14,5.84,5.91,5.84,5.91,1406734.08408
2026-04-15,5.92,6.0,5.9001,5.91,1546482.055299
2026-04-16,5.76,5.8,5.73,5.76,1375287.392298
2026-04-17,5.81,5.84,5.79,5.81,1231353.689976
2026-04-20,5.79,5.825,5.77,5.78,1301755.434205
2026-04-21,5.82,5.85,5.77,5.77,884688.984431
2026-04-22,5.83,5.835,5.79,5.81,1218431.351874
2026-04-23,5.79,5.8067,5.71,5.74,1453964.224113
2026-04-24,5.74,5.8,5.7319,5.8,870097.924353
2026-04-27,5.8,5.8099,5.76,5.8,961899.190312
2026-04-28,5.79,5.8,5.75,5.78,837562.228524
2026-04-29,5.78,5.79,5.75,5.77,1035318.914748
2026-04-30,5.8,5.85,5.76,5.85,1060864.032051
2026-05-01,5.87,5.88,5.815,5.83,1023888.759301
2026-05-04,5.8,5.85,5.75,5.75,1094741.516896
2026-05-05,5.81,5.81,5.79,5.81,663239.419639
2026-05-06,5.85,5.86,5.82,5.83,1512294.379585
2026-05-07,5.86,5.86,5.78,5.78,918171.030266
2026-05-08,5.79,5.83,5.79,5.82,1091418.582001
2026-05-11,5.8,5.8,5.75,5.75,1143769.028347
2026-05-12,5.75,5.75,5.7,5.73,1199502.179974
2026-05-13,5.75,5.77,5.71,5.76,937144.350543
2026-05-14,5.78,5.79,5.745,5.76,1139412.482902
2026-05-15,5.74,5.7499,5.71,5.73,688220.594212
2026-05-18,5.73,5.755,5.69,5.71,1044353.874389
2026-05-19,5.71,5.74,5.683,5.73,823019.047861
2026-05-20,5.74,5.76,5.695,5.76,1225526.135126
2026-05-21,5.76,5.78,5.71,5.78,877973.422826
2026-05-22,5.8,5.82,5.78,5.81,745910.728095
