date,open,high,low,close,volume
2026-02-02,6.67,6.6885,6.615,6.66,236681.0
2026-02-03,6.67,6.83,6.67,6.82,173773.0
2026-02-04,6.82,6.9525,6.77,6.9,176830.0
2026-02-05,6.78,6.803,6.72,6.765,132464.0
2026-02-06,6.76,6.8985,6.75,6.835,136337.0
2026-02-09,6.89,6.96,6.85,6.945,188318.0
2026-02-10,6.96,6.99,6.95,6.99,139026.0
2026-02-11,7.03,7.05,7.03,7.045,164760.0
2026-02-12,6.94,6.94,6.755,6.79,159143.0
2026-02-13,6.8,6.85,6.76,6.8,189658.0
2026-02-17,6.81,6.85,6.75,6.805,211800.0
2026-02-18,6.94,6.98,6.93,6.975,212716.0
2026-02-19,6.99,7.01,6.97,7.005,211048.0
2026-02-20,7.0,7.06,6.9901,7.025,198270.0
2026-02-23,7.08,7.12,7.06,7.085,340501.441884
2026-02-24,7.09,7.12,7.0531,7.11,221395.793801
2026-02-25,7.1,7.11,7.0601,7.095,203932.083885
2026-02-26,6.95,7.08,6.89,7.035,263248.260673
2026-02-27,7.13,7.2,7.12,7.195,221272.278483
2026-03-02,7.39,7.39,7.285,7.38,1083871.423398
2026-03-03,7.45,7.49,7.395,7.43,729682.217489
2026-03-04,7.44,7.4833,7.44,7.47,306931.153909
2026-03-05,7.51,7.6,7.51,7.57,671614.360817
2026-03-06,7.65,7.65,7.62,7.64,965745.211139
2026-03-09,7.87,7.92,7.24,7.5,1516213.476841
2026-03-10,7.6,7.7101,7.1101,7.66,620700.548358
2026-03-11,7.69,8.0,7.5987,7.98,460460.588115
2026-03-12,8.09,8.2,8.08,8.2,720083.973864
2026-03-13,8.18,8.32,8.1601,8.32,813710.2015
2026-03-16,8.23,8.4151,8.21,8.31,1091586.16951
2026-03-17,8.44,8.6,8.44,8.6,997621.492806
2026-03-18,8.69,8.76,8.64,8.74,847779.137003
2026-03-19,8.71,8.815,8.43,8.54,952314.531487
2026-03-20,8.64,8.9,8.64,8.9,1265761.329632
2026-03-23,8.49,8.52,8.07,8.35,3161023.636852
2026-03-24,8.63,8.7899,8.56,8.69,1322671.194973
2026-03-25,8.35,8.66,8.32,8.62,1064683.82726
2026-03-26,8.71,8.7728,8.64,8.77,784019.534882
2026-03-27,8.79,8.875,8.79,8.87,700958.047869
2026-03-30,9.03,9.28,9.02,9.27,1027598.862438
2026-03-31,9.22,9.3,9.12,9.22,1086520.613116
2026-04-01,9.16,9.21,9.12,9.18,934475.176988
2026-04-02,9.28,9.29,9.205,9.27,752360.011467
2026-04-06,9.28,9.37,9.18,9.31,940969.714404
2026-04-07,9.43,9.5797,8.81,9.29,1474144.52212
2026-04-08,8.04,8.5349,7.8,8.48,1318649.621821
2026-04-09,8.55,8.74,8.32,8.48,1217034.524139
2026-04-10,8.39,8.469,8.0301,8.07,907648.359701
2026-04-13,8.61,8.88,8.555,8.67,966322.246026
2026-04-14,8.47,8.6599,8.38,8.44,525296.84754
2026-04-15,8.4,8.52,8.385,8.41,822219.858325
2026-04-16,8.43,8.6334,8.33,8.51,540764.751955
2026-04-17,7.9,7.95,7.516,7.86,1226742.564385
2026-04-20,8.04,8.2299,8.04,8.145,650469.656069
2026-04-21,8.21,8.49,8.12,8.49,540614.061817
2026-04-22,8.38,8.55,8.3201,8.47,278320.624862
2026-04-23,8.45,8.765,8.44,8.63,315107.1035
2026-04-24,8.52,8.61,8.45,8.48,246742.901415
2026-04-27,8.63,8.76,8.5601,8.71,261115.455999
2026-04-28,8.86,8.94,8.85,8.9068,225914.730829
2026-04-29,9.17,9.49,9.1,9.4,645337.491033
2026-04-30,9.1,9.24,9.0361,9.13,433440.799859
2026-05-01,8.9,8.99,8.74,8.93,498226.624926
2026-05-04,9.01,9.26,8.94,9.2,448637.507539
2026-05-05,9.06,9.08,8.96,9.07,274640.730094
2026-05-06,8.62,8.6599,8.44,8.49,529620.360336
2026-05-07,8.2,8.57,8.05,8.49,805123.11147
2026-05-08,8.42,8.51,8.34,8.47,246877.090526
2026-05-11,8.56,8.79,8.5502,8.71,303682.497582
2026-05-12,8.91,8.98,8.9,8.96,235246.642926
2026-05-13,8.93,8.97,8.79,8.83,345899.182882
2026-05-14,8.72,8.8,8.67,8.8,297558.532366
2026-05-15,8.9,8.98,8.85,8.97,304071.712291
2026-05-18,8.97,9.24,8.84,9.04,1050963.246884
2026-05-19,9.25,9.25,9.1,9.18,450314.407879
2026-05-20,9.07,9.1,8.7,8.82,457120.807831
2026-05-21,8.97,9.0199,8.56,8.6769,504897.008667
2026-05-22,8.61,8.77,8.5148,8.6302,407972.128636
2026-05-26,8.42,8.55,8.3999,8.47,406190.110783
2026-05-27,8.19,8.28,8.065,8.14,669359.93935
2026-05-28,8.16,8.22,7.9,8.05,487208.350094
2026-05-29,7.95,8.03,7.83,7.96,505951.982947
2026-06-01,8.16,8.45,8.16,8.28,549386.628254
2026-06-02,8.32,8.42,8.2599,8.415,318707.12017
2026-06-03,8.51,8.555,8.45,8.5371,339832.101122
2026-06-04,8.3,8.32,8.23,8.3052,294985.385974
2026-06-05,8.25,8.27,8.1212,8.1666,199429.151052
2026-06-08,8.29,8.33,8.22,8.3,140701.621937
2026-06-09,8.16,8.2,7.92,8.1,408268.648834
2026-06-10,8.16,8.36,8.16,8.28,265907.594544
2026-06-11,8.16,8.21,7.78,7.83,495753.419396
2026-06-12,7.8,7.9799,7.71,7.72,379517.28486
