date,open,high,low,close,volume
2026-02-02,23.21,23.7399,20.73,21.01,17103494.0
2026-02-03,22.65,24.72,22.11,24.53,21050907.0
2026-02-04,24.53,24.78,20.28,21.42,17948325.0
2026-02-05,20.45,21.35,19.45,19.59,13869782.0
2026-02-06,20.54,21.27,19.7,21.22,12419479.0
2026-02-09,21.19,23.27,20.81,23.1,11143136.0
2026-02-10,23.0,23.04,21.42,21.76,11322447.0
2026-02-11,23.095,23.9196,21.08,22.46,16640864.0
2026-02-12,23.0,23.25,20.91,21.3,12847658.0
2026-02-13,21.25,21.88,20.2,20.72,8931246.0
2026-02-17,20.54,20.71,19.2328,20.57,9174848.0
2026-02-18,21.05,21.6572,20.78,21.34,8693476.0
2026-02-19,20.94,22.29,20.42,21.97,9987502.0
2026-02-20,21.975,22.54,20.61,21.35,9471939.0
2026-02-23,21.04,21.29,19.99,21.02,8063211.531856
2026-02-24,20.98,22.86,20.29,22.77,10960127.964106
2026-02-25,23.07,23.61,22.5,22.6,9731484.730881
2026-02-26,22.45,22.9,21.44,22.84,8536368.192628
2026-02-27,21.5,22.88,21.18,21.32,10410827.554278
2026-03-02,20.9,23.55,20.7,23.37,15140640.03308
2026-03-03,22.0,22.2,19.98,20.89,13911641.175944
2026-03-04,21.49,22.54,20.51,21.81,12408537.693736
2026-03-05,21.55,21.61,19.625,20.32,14668147.013522
2026-03-06,19.71,20.63,18.77,19.03,10373426.484322
2026-03-09,18.64,20.09,18.36,19.87,9356012.547766
2026-03-10,20.25,21.33,20.1,20.31,9980107.874988
2026-03-11,20.155,21.08,19.85,20.07,7375275.067381
2026-03-12,19.9,20.4,19.07,19.82,8897063.61338
2026-03-13,20.14,20.54,18.63,18.67,9634004.895373
2026-03-16,19.0,19.65,18.61,19.24,7860727.605058
2026-03-17,19.11,19.895,18.79,19.32,6509005.5683
2026-03-18,18.84,19.185,18.27,18.71,11159632.660779
2026-03-19,17.83,18.18,17.07,17.92,12866141.81721
2026-03-20,17.92,17.99,16.43,16.75,13073918.132194
2026-03-23,17.11,17.965,16.7416,17.79,11343531.316419
2026-03-24,17.56,18.26,17.14,18.06,10396489.112165
2026-03-25,18.75,19.74,18.311,18.75,11381568.238902
2026-03-26,18.19,18.38,17.316,17.66,9094093.390029
2026-03-27,17.39,18.3,17.25,17.61,8458382.745
2026-03-30,17.61,17.79,16.22,16.46,8345361.976307
2026-03-31,16.9,18.525,16.875,18.25,12313196.722196
2026-04-01,18.75,19.725,17.85,17.95,12202821.480533
2026-04-02,17.0,18.28,16.93,17.75,7761243.928117
2026-04-06,17.73,17.97,17.17,17.83,8006114.855467
2026-04-07,17.68,17.84,16.97,17.44,6306007.137245
2026-04-08,18.9,19.48,17.8555,18.38,10076898.714907
2026-04-09,18.2,18.785,17.925,18.32,6244514.851093
2026-04-10,18.5,19.28,18.3,18.4,7587072.093834
2026-04-13,18.19,19.415,17.5612,19.36,10149731.160875
2026-04-14,20.0,20.65,19.195,19.54,12081007.286886
2026-04-15,19.9,21.425,19.78,21.0,13157924.511715
2026-04-16,21.5,21.58,20.62,20.93,11351621.306155
2026-04-17,21.75,21.94,20.31,20.49,12721852.380223
2026-04-20,20.47,21.55,19.93,21.51,9771054.548375
2026-04-21,21.5,21.5762,20.342,20.52,9907734.319914
2026-04-22,21.09,22.63,20.91,22.63,12368838.073917
2026-04-23,22.27,23.13,20.84,21.91,11332738.379411
2026-04-24,22.32,22.4585,20.1986,20.32,11006476.486211
2026-04-27,20.31,21.445,20.265,21.32,9171498.415814
2026-04-28,20.78,21.3,20.05,20.59,8141518.142403
2026-04-29,20.97,20.99,19.46,19.58,8667867.189922
2026-04-30,19.98,21.72,19.96,21.64,8619141.20234
2026-05-01,21.62,21.78,20.76,21.66,7386741.713226
2026-05-04,21.63,22.76,21.285,21.62,10187741.682742
2026-05-05,22.0,22.58,20.65,21.04,8388928.970679
2026-05-06,21.47,23.695,21.09,23.52,13880330.581265
2026-05-07,23.66,25.79,23.12,23.35,22692436.957893
2026-05-08,23.39,23.6846,21.22,21.38,12598439.798878
2026-05-11,21.62,23.0198,20.93,22.04,14553890.327132
2026-05-12,21.5,21.52,19.99,20.95,10250585.584079
2026-05-13,20.85,20.86,19.82,20.18,6965526.945305
2026-05-14,20.15,20.22,18.92,19.5,7916935.544767
2026-05-15,18.69,18.93,18.2701,18.41,8191663.349012
2026-05-18,18.3,18.6391,17.22,17.4,8769273.748921
2026-05-19,17.3,17.39,16.03,16.18,10365236.507566
2026-05-20,16.84,17.23,16.18,16.78,11102746.258928
2026-05-21,16.89,18.23,16.81,17.86,9339664.35416
2026-05-22,18.15,18.93,17.99,18.04,8920709.075219
2026-05-26,18.59,19.14,18.385,18.4,9408469.469637
2026-05-27,18.36,18.615,17.82,18.35,7000931.055408
2026-05-28,18.0,18.845,17.52,18.44,8506910.566889
2026-05-29,18.23,18.33,17.54,18.22,6613024.939025
2026-06-01,17.77,18.75,17.26,17.62,22522476.777909
2026-06-02,17.83,19.75,17.52,19.54,14978217.840446
2026-06-03,19.2,19.2,17.79,18.0,9749409.339018
2026-06-04,17.82,18.0,17.25,17.37,7696286.294686
2026-06-05,17.09,17.25,14.7867,15.03,22501740.461552
