date,open,high,low,close,volume
2026-02-02,28.45,28.5406,27.26,27.44,1149025.0
2026-02-03,27.39,27.635,26.32,26.72,1886937.0
2026-02-04,26.45,28.12,25.52,26.82,1914327.0
2026-02-05,26.9,27.365,26.05,26.19,1223222.0
2026-02-06,26.22,26.95,26.21,26.85,1031189.0
2026-02-09,26.72,26.98,25.76,26.12,1155091.0
2026-02-10,26.21,27.215,25.88,26.15,1513832.0
2026-02-11,26.15,26.4,25.51,25.8,1654484.0
2026-02-12,25.97,27.77,25.895,27.71,1411471.0
2026-02-13,27.91,28.71,27.16,28.41,1074974.0
2026-02-17,28.37,28.67,28.04,28.24,2035203.0
2026-02-18,28.13,28.97,27.37,27.47,1777501.0
2026-02-19,27.5,27.75,27.1,27.55,1123442.0
2026-02-20,27.5,27.825,26.53,27.17,1273293.0
2026-02-23,26.53,27.19,25.42,25.57,2210759.722498
2026-02-24,25.57,26.505,25.44,25.76,1842983.904248
2026-02-25,25.86,26.1469,24.15,24.79,2459672.369985
2026-02-26,20.625,22.16,19.8,22.11,12842414.960852
2026-02-27,21.29,21.95,20.63,21.09,3751225.432867
2026-03-02,20.555,20.81,20.033,20.12,2341982.415881
2026-03-03,20.01,21.18,19.75,20.3,3749901.015659
2026-03-04,20.42,20.81,19.95,20.01,1950151.958689
2026-03-05,20.13,20.46,19.68,19.89,2181854.569649
2026-03-06,19.78,20.05,19.61,19.89,1654050.86395
2026-03-09,19.59,19.645,17.91,19.1,2235771.084244
2026-03-10,19.13,19.255,18.01,18.06,1533534.540223
2026-03-11,18.22,18.32,17.52,17.62,2174466.346678
2026-03-12,17.92,18.46,17.35,17.47,2656537.920437
2026-03-13,17.67,17.8,17.0,17.21,2017060.203175
2026-03-16,17.0,17.39,16.055,16.21,3439891.629585
2026-03-17,16.42,16.86,15.62,15.7,2618765.36394
2026-03-18,15.62,15.775,15.0,15.16,3819813.848966
2026-03-19,15.26,15.82,15.2,15.33,3470673.854305
2026-03-20,15.32,15.78,14.47,14.51,4209419.807083
2026-03-23,14.51,14.673,13.541,13.69,3172050.262603
2026-03-24,13.69,13.9567,13.56,13.8,2890399.770836
2026-03-25,13.85,13.85,13.08,13.54,3053100.527624
2026-03-26,13.54,13.59,12.99,13.01,2197518.35939
2026-03-27,13.01,13.25,12.8,13.14,2364602.857907
2026-03-30,13.21,13.4,12.635,13.2,2574996.195518
2026-03-31,13.3,14.135,13.25,14.12,2980555.64319
2026-04-01,14.27,14.57,13.28,13.4,2983632.251808
2026-04-02,13.12,13.33,12.35,12.59,3447487.198136
2026-04-06,12.71,13.17,12.67,13.11,2164056.666697
2026-04-07,13.05,13.77,12.96,13.55,3127398.407786
2026-04-08,13.74,13.9,12.52,12.77,3334804.488241
2026-04-09,12.61,13.26,12.51,12.99,2280716.958817
2026-04-10,12.97,13.29,12.79,13.04,2271235.951955
2026-04-13,12.96,13.07,12.54,12.75,1640146.207145
2026-04-14,12.74,13.18,12.66,12.75,1744797.076451
2026-04-15,12.83,13.25,12.23,12.26,2708325.085039
2026-04-16,12.47,13.05,12.42,12.47,2332488.19947
2026-04-17,12.57,12.88,12.21,12.29,2341193.116416
2026-04-20,12.29,13.0661,12.12,12.8,2781397.590331
2026-04-21,12.84,13.43,12.41,13.13,2461252.200969
2026-04-22,13.07,13.4696,12.49,12.5,2349206.85258
2026-04-23,12.58,12.93,12.33,12.73,2136564.855377
2026-04-24,12.71,12.79,12.19,12.64,1854151.8417
2026-04-27,12.62,13.2,12.32,13.17,2786550.626037
2026-04-28,13.24,13.36,12.7625,12.96,2445214.235775
2026-04-29,12.94,13.04,11.8,12.1,4582407.140215
2026-04-30,12.25,13.79,12.25,13.65,4168088.498894
2026-05-01,13.6,14.32,13.335,14.18,3218188.862194
2026-05-04,13.52,13.9,12.75,13.0,3185666.378835
2026-05-05,13.0,13.04,12.06,12.8,3678816.321205
2026-05-06,12.94,13.43,11.89,12.0,5202080.506092
2026-05-07,9.1,9.655,8.4,9.52,19560673.83571
2026-05-08,9.24,9.65,8.8,8.94,6525701.271939
2026-05-11,9.0,9.055,8.3,8.74,5284728.514024
2026-05-12,8.75,8.87,8.32,8.65,3791287.019132
2026-05-13,8.43,8.53,7.95,8.33,4268842.76818
2026-05-14,8.33,8.62,8.155,8.51,3177434.603189
2026-05-15,8.51,8.69,8.22,8.48,4427230.560257
2026-05-18,8.53,8.64,8.1225,8.28,4203980.866157
2026-05-19,8.48,9.195,8.37,9.17,4306039.164258
2026-05-20,9.15,9.8609,9.03,9.43,3500409.818997
2026-05-21,9.52,9.93,9.22,9.24,3112780.300529
2026-05-22,9.37,10.145,9.35,10.13,2997000.234488
2026-05-26,10.08,10.17,9.54,9.87,3630001.698461
2026-05-27,9.86,10.6,9.77,10.19,2024324.637563
2026-05-28,10.1,10.48,9.6725,10.45,2087569.792014
2026-05-29,10.35,10.36,9.845,10.01,2442473.510906
2026-06-01,9.86,10.235,9.6,10.07,3095597.222172
2026-06-02,10.07,10.07,9.61,9.8,2612922.871313
2026-06-03,9.91,9.91,9.62,9.87,1996856.896756
2026-06-04,9.93,10.05,9.61,9.83,1647940.876511
2026-06-05,9.89,10.15,9.69,10.04,2066821.512351
