date,open,high,low,close,volume
2026-02-02,49.43,53.9,49.39,50.64,594506.0
2026-02-03,52.1,54.61,51.2,52.82,501287.0
2026-02-04,53.11,55.8116,52.1,53.9,604068.0
2026-02-05,51.57,53.39,51.28,52.04,340326.0
2026-02-06,52.86,56.14,52.755,55.98,406431.0
2026-02-09,55.42,56.25,53.6,55.07,410426.0
2026-02-10,55.25,56.25,52.95,53.59,475083.0
2026-02-11,47.76,51.18,44.2301,46.43,1080198.0
2026-02-12,47.26,48.8,45.27,46.68,580998.0
2026-02-13,46.66,47.49,44.08,44.2,505676.0
2026-02-17,44.16,46.42,44.01,45.41,268931.0
2026-02-18,45.7,47.7,45.51,46.03,239775.0
2026-02-19,45.38,46.93,44.59,46.91,189967.0
2026-02-20,46.03,48.48,45.45,47.85,239043.0
2026-02-23,47.57,47.57,45.52,46.81,237891.690656
2026-02-24,47.73,48.59,46.445,46.79,150111.169949
2026-02-25,47.47,48.43,46.557,48.31,139283.695326
2026-02-26,48.2,48.2,45.18,47.26,161535.739419
2026-02-27,46.36,46.36,44.765,46.07,234838.486216
2026-03-02,45.12,49.715,44.24,49.22,307208.549238
2026-03-03,47.0,48.3,43.31,47.58,161092.193572
2026-03-04,48.53,48.53,46.47,46.98,129672.436344
2026-03-05,46.23,47.4,44.08,44.99,117802.04068
2026-03-06,43.07,44.47,42.15,43.46,169349.934533
2026-03-09,42.24,43.715,41.0,43.57,137333.221206
2026-03-10,43.87,46.33,43.87,44.54,142133.480798
2026-03-11,44.07,46.079,43.73,43.88,166356.05683
2026-03-12,43.14,43.515,41.6,41.71,219814.201467
2026-03-13,42.34,42.585,40.205,41.01,286505.959007
2026-03-16,42.11,42.59,40.6125,41.16,218513.498948
2026-03-17,41.32,41.53,39.74,40.82,239672.710997
2026-03-18,40.53,42.26,39.79,41.1,235062.291635
2026-03-19,40.06,43.7,39.16,43.29,282304.91823
2026-03-20,42.67,43.083,40.26,40.64,207354.745524
2026-03-23,39.66,42.56,39.66,42.15,129823.235
2026-03-24,41.92,43.59,41.715,42.77,106056.46333
2026-03-25,43.29,47.51,43.29,45.5,694042.055387
2026-03-26,44.19,45.49,42.32,42.52,262313.02799
2026-03-27,41.52,42.02,39.75,41.55,469459.729856
2026-03-30,42.16,42.19,40.33,40.68,243024.636979
2026-03-31,41.75,43.56,41.4,43.42,190427.757741
2026-04-01,44.39,45.62,43.84,43.97,135518.108792
2026-04-02,42.18,45.34,42.18,44.77,194196.742327
2026-04-06,45.66,46.675,44.8,46.12,177096.908293
2026-04-07,45.73,46.865,44.37,46.73,174316.923159
2026-04-08,49.93,51.0,48.11,49.08,149806.823891
2026-04-09,48.9,49.615,47.94,49.23,154178.59244
2026-04-10,49.85,50.125,48.88,49.9,212151.315665
2026-04-13,49.7,52.76,49.7,51.96,239998.978967
2026-04-14,52.16,53.04,51.59,51.8,122500.516323
2026-04-15,51.46,51.615,49.91,50.8,107386.008342
2026-04-16,50.51,51.71,50.51,51.38,85748.671022
2026-04-17,52.37,54.1,52.0,53.22,156991.423395
2026-04-20,53.43,54.392,52.81,53.16,165812.434008
2026-04-21,53.24,56.7047,52.7701,54.42,484041.18984
2026-04-22,55.61,57.79,54.85,57.31,464615.936688
2026-04-23,57.3,59.9108,56.0101,57.79,314300.173901
2026-04-24,58.54,61.46,57.73,60.62,290699.961738
2026-04-27,60.75,61.18,57.0,58.58,227652.094164
2026-04-28,57.33,57.93,56.4,57.21,212576.352962
2026-04-29,57.78,57.795,55.2,56.27,254279.511119
2026-04-30,57.35,61.94,57.28,60.42,283227.017297
2026-05-01,59.95,60.68,58.74,60.22,159947.825884
2026-05-04,60.64,61.825,59.09,60.03,181672.070376
2026-05-05,60.51,65.52,60.51,63.95,311114.508888
2026-05-06,64.69,66.12,62.06,63.57,338992.674946
2026-05-07,62.92,63.64,60.77,62.43,254360.069638
2026-05-08,63.92,68.86,63.45,67.24,635572.803535
2026-05-11,67.67,68.699,65.84,66.6,302751.972544
2026-05-12,83.94,87.8799,79.15,85.57,1104333.733151
2026-05-13,92.37,104.5,91.85,99.6,1453363.68108
2026-05-14,99.6,105.17,93.32,100.34,1225719.515251
2026-05-15,95.7,100.75,92.79,97.32,618201.749185
2026-05-18,102.82,108.0,97.425,105.21,853836.81635
2026-05-19,104.4,104.4,90.01,97.95,1083172.282868
2026-05-20,100.07,100.73,93.13,100.71,509728.800235
2026-05-21,100.18,106.405,98.01,104.04,502389.184891
2026-05-22,104.89,114.11,104.075,113.76,625095.458009
2026-05-26,121.37,124.4,115.0,123.41,1317986.617852
2026-05-27,126.44,131.68,118.31,125.92,952678.651957
2026-05-28,125.0,129.57,116.62,125.25,595378.263581
2026-05-29,124.04,125.96,116.2,125.31,535715.46201
2026-06-01,125.0,129.7199,119.46,126.24,548776.851548
2026-06-02,128.0,136.21,125.21,132.93,508007.340591
2026-06-03,131.48,134.33,126.99,129.93,360296.191811
2026-06-04,125.27,135.0,118.8301,128.24,779702.100411
2026-06-05,124.0,125.98,114.1,117.51,610952.410168
2026-06-08,123.22,123.22,115.226,119.96,399520.837743
2026-06-09,123.82,133.1499,112.3905,122.66,602784.538273
2026-06-10,120.0,129.29,118.52,122.25,681057.92
2026-06-11,123.0,142.22,123.0,141.7,861938.266196
