date,open,high,low,close,volume
2026-02-02,182.65,191.9,182.0,190.01,4112054.0
2026-02-03,190.01,195.0,183.01,190.15,4432998.0
2026-02-04,190.7,194.881,172.6,182.56,8287247.0
2026-02-05,176.29,183.3346,172.35,177.75,6144625.0
2026-02-06,180.92,195.81,180.92,195.58,7197339.0
2026-02-09,196.78,208.43,195.835,202.0,7638392.0
2026-02-10,203.0,206.35,197.38,199.62,6707752.0
2026-02-11,233.25,249.9499,233.0,248.51,19793450.0
2026-02-12,243.95,255.54,234.51,236.51,12438830.0
2026-02-13,238.22,239.51,227.05,234.53,6785153.0
2026-02-17,234.58,245.405,232.12,243.53,6449593.0
2026-02-18,247.0,254.05,240.38,243.21,5350687.0
2026-02-19,241.03,247.7099,239.5241,243.06,3929753.0
2026-02-20,240.99,246.8,238.19,243.75,3879175.0
2026-02-23,242.6,245.77,240.0,245.42,4026050.290935
2026-02-24,246.5,253.48,241.27,253.15,5458231.319099
2026-02-25,255.46,264.86,255.0,262.19,6580276.203378
2026-02-26,260.15,260.15,241.69,259.23,8566379.252891
2026-02-27,251.5,257.8,245.67,254.89,6967895.646995
2026-03-02,249.44,258.8999,244.22,257.75,5382318.428614
2026-03-03,245.53,248.2199,234.72,244.44,6866602.262935
2026-03-04,249.4,255.3,245.3401,251.28,4298543.603902
2026-03-05,247.49,258.32,238.74,249.75,5291477.248243
2026-03-06,241.0,251.47,238.6501,241.78,8772638.748713
2026-03-09,251.49,266.67,251.0,264.35,20427931.641826
2026-03-10,265.55,274.85,264.5,270.06,11306849.741271
2026-03-11,272.11,276.78,266.57,268.26,7103228.166207
2026-03-12,263.65,271.44,257.255,265.38,7465350.395126
2026-03-13,265.2,269.22,256.0726,258.88,6981158.226971
2026-03-16,261.68,270.91,261.68,264.74,7386691.62773
2026-03-17,260.66,270.87,259.51,268.41,5121284.022463
2026-03-18,271.63,274.73,264.5401,264.71,6673848.207017
2026-03-19,258.44,271.101,256.04,269.17,7084563.205322
2026-03-20,268.62,272.84,255.51,255.88,87826646.276194
2026-03-23,258.995,271.88,255.12,256.0,8888136.450835
2026-03-24,256.0,270.91,251.15,270.89,6843039.668731
2026-03-25,276.8,282.05,274.0,276.16,5929023.5518
2026-03-26,273.81,274.16,252.4,252.4,6621741.760237
2026-03-27,249.96,256.8399,248.5,251.07,5444468.273747
2026-03-30,253.71,255.45,231.7,234.22,6930419.98576
2026-03-31,233.0,251.0,233.0,250.58,6686054.099045
2026-04-01,257.0,265.55,257.0,259.37,5112620.538794
2026-04-02,249.12,266.9999,247.9154,261.29,3965504.218552
2026-04-06,262.93,266.525,258.59,258.73,3305691.242079
2026-04-07,256.97,262.48,252.0101,262.3,2937212.005952
2026-04-08,279.87,285.6,273.38,281.03,5696708.157605
2026-04-09,280.99,291.0,280.97,287.64,5166438.070426
2026-04-10,289.75,297.56,289.3,295.11,4644833.745502
2026-04-13,294.98,300.68,294.98,299.96,4733863.754596
2026-04-14,307.0,312.46,299.01,310.51,4993767.678811
2026-04-15,309.5,311.0,296.64,301.16,5353598.178007
2026-04-16,303.0,303.31,292.67,294.13,4832598.178096
2026-04-17,298.7,308.54,298.22,307.34,5805510.977248
2026-04-20,307.005,315.66,305.11,314.41,4672297.636466
2026-04-21,316.1,323.0379,310.84,312.44,7285421.53054
2026-04-22,305.32,312.98,296.8,305.14,9835897.571141
2026-04-23,304.2,325.25,304.2,321.75,7066993.379299
2026-04-24,328.0,330.295,316.4001,323.46,5281490.766373
2026-04-27,325.99,328.05,307.071,322.43,5442463.058787
2026-04-28,307.195,314.51,293.88,305.03,8217552.527808
2026-04-29,307.05,309.97,299.8,306.18,4536327.008074
2026-04-30,313.75,330.0,312.34,328.49,6268692.433408
2026-05-01,330.65,331.97,324.23,328.31,4408615.781808
2026-05-04,329.58,332.95,321.45,330.97,4927446.527539
2026-05-05,334.07,341.12,330.6,341.02,5456160.599014
2026-05-06,351.56,359.84,343.65,358.92,5583202.035891
2026-05-07,358.575,359.0,336.18,340.01,5458124.305211
2026-05-08,349.785,350.99,339.71,339.97,4080985.940914
2026-05-11,342.013,371.995,342.013,367.92,7279183.156075
2026-05-12,361.32,370.265,349.02,367.13,6556246.10135
2026-05-13,375.7,377.77,360.91,369.99,4460997.484053
2026-05-14,370.24,379.935,365.15,376.23,3611280.333669
2026-05-15,364.31,373.91,356.27,370.94,4871154.705507
2026-05-18,370.295,370.295,330.72,339.73,8086663.215496
2026-05-19,329.68,334.625,314.34,322.63,9039473.065586
2026-05-20,325.0,329.43,314.25,315.67,6014021.035771
2026-05-21,322.3,330.33,319.0,323.4,5221317.884094
2026-05-22,333.96,334.89,324.0,327.46,4801845.069953
2026-05-26,341.06,343.31,323.26,323.91,6523689.897035
2026-05-27,326.01,326.1627,310.1,319.78,5293029.38682
2026-05-28,316.4,320.675,307.3001,314.18,5384059.075446
2026-05-29,315.2,319.58,308.0,315.71,7227549.678125
2026-06-01,317.99,328.58,313.1301,323.39,6162096.803467
2026-06-02,335.15,345.18,331.23,334.49,5077343.099006
2026-06-03,340.865,343.63,326.79,331.44,3927697.419726
2026-06-04,321.095,326.86,306.0,323.92,6075869.733835
2026-06-05,313.755,315.0,294.395,300.51,7330005.361599
2026-06-08,309.25,310.6066,300.22,300.57,4790038.027608
2026-06-09,300.43,307.13,276.5,289.52,11117745.405962
2026-06-10,284.52,294.35,275.18,280.98,6904227.581371
2026-06-11,284.25,298.66,283.4,297.88,5408777.274397
2026-06-12,303.48,305.19,295.1,302.87,4958116.566625
