date,open,high,low,close,volume
2026-02-06,150.0,152.26,147.42,149.65,7406399.0
2026-02-09,150.0,155.78,147.78,152.97,5097005.0
2026-02-10,160.4,161.42,154.81,159.6,9074355.0
2026-02-11,165.0,165.31,158.55,160.15,4279289.0
2026-02-12,160.73,166.21,160.4,163.1,7493842.0
2026-02-13,162.4,171.66,161.5,171.49,5967870.0
2026-02-17,170.88,176.65,169.95,173.68,4655476.0
2026-02-18,174.01,175.5,169.61,170.57,3622721.0
2026-02-19,169.91,172.57,168.25,172.5,3154656.0
2026-02-20,172.3,173.4999,169.0,171.4,3879803.0
2026-02-23,170.64,171.84,165.21,167.8,4133180.750005
2026-02-24,167.28,171.68,162.88,171.62,4375290.386109
2026-02-25,172.38,175.94,170.08,175.36,4810197.026198
2026-02-26,171.36,177.23,164.11,176.82,7746178.577305
2026-02-27,175.0,178.31,170.89,173.89,5494931.453296
2026-03-02,170.2,176.52,165.83,165.99,5138138.294167
2026-03-03,161.69,163.53,152.9801,161.7,6653884.362141
2026-03-04,161.59,164.21,160.4,163.36,4677692.900219
2026-03-05,161.88,167.97,161.68,167.4,4951618.927087
2026-03-06,164.45,168.38,158.3,158.65,5625427.041194
2026-03-09,155.9,164.63,155.0,163.62,4108977.526218
2026-03-10,165.36,168.79,164.305,164.4,4147963.971026
2026-03-11,163.6,163.99,155.1501,159.16,6083985.500478
2026-03-12,157.08,163.2,156.7,159.58,4053247.886265
2026-03-13,161.76,165.24,157.73,158.95,3679568.983262
2026-03-16,161.0,163.5,160.11,161.99,2775156.720937
2026-03-17,162.81,165.46,162.12,164.33,2065315.991214
2026-03-18,165.75,173.0,165.5,170.12,3685287.248942
2026-03-19,167.17,169.6,164.23,167.37,3106652.499753
2026-03-20,166.47,166.47,144.83,146.02,11109513.01161
2026-03-23,151.45,155.9,149.335,151.29,5338525.291559
2026-03-24,150.55,154.1,149.55,152.72,3995489.820532
2026-03-25,155.0,157.95,150.38,151.51,3512904.489067
2026-03-26,149.5,152.67,146.49,152.3,4437915.47464
2026-03-27,151.75,160.2,151.75,155.48,4554483.94445
2026-03-30,157.1,158.93,146.6,147.54,4734921.21379
2026-03-31,143.9,151.47,142.34,150.33,5402244.999996
2026-04-01,151.47,156.34,151.4,153.96,3782839.228216
2026-04-02,151.21,154.56,150.12,151.18,2950319.311071
2026-04-06,151.04,153.105,149.88,151.59,2309799.806778
2026-04-07,151.07,154.16,150.28,153.68,2229141.733535
2026-04-08,160.75,161.31,155.29,155.89,4320567.058374
2026-04-09,155.89,162.53,152.68,152.75,4103154.897234
2026-04-10,153.5,158.63,153.11,154.73,2900876.225138
2026-04-13,152.65,160.72,152.65,158.2,4458614.569205
2026-04-14,162.41,165.28,160.345,163.97,3767261.357003
2026-04-15,165.5,166.52,162.15,162.94,3098298.920896
2026-04-16,164.57,166.92,162.61,165.53,3126049.456509
2026-04-17,166.26,168.49,162.2601,163.46,4104295.385448
2026-04-20,163.05,164.05,158.32,159.6,2924136.19588
2026-04-21,160.76,161.1,154.13,154.91,3748830.998192
2026-04-22,157.8,159.08,154.92,155.79,2642180.754885
2026-04-23,155.96,158.87,154.5,156.85,3272560.623437
2026-04-24,156.33,165.48,155.1501,164.35,3481388.066571
2026-04-27,165.0,168.42,158.735,166.58,4577606.047667
2026-04-28,162.5,163.325,158.72,161.12,5205586.581841
2026-04-29,160.86,161.139,153.08,153.79,4992838.118596
2026-04-30,156.29,159.63,155.7301,157.84,3954816.868155
2026-05-01,158.31,160.14,154.93,155.28,3143975.933451
2026-05-04,157.69,162.38,157.44,160.85,4209280.788535
2026-05-05,163.0,163.8,159.8,160.38,3567166.725544
2026-05-06,161.495,162.99,156.6,158.29,8214755.015297
2026-05-07,163.04,168.39,153.77,153.95,7895796.858399
2026-05-08,155.0,155.0,146.98,147.72,8074473.596526
2026-05-11,148.0,152.75,146.2781,152.05,5905405.48825
2026-05-12,149.49,150.3225,145.66,146.87,4904253.9821
2026-05-13,146.28,146.28,139.51,142.61,6385353.885218
2026-05-14,141.38,143.295,139.9221,141.9,5117085.363004
2026-05-15,139.775,141.09,137.81,139.68,6632205.757708
2026-05-18,139.0,139.54,133.86,136.75,6321803.154768
2026-05-19,135.8,136.7,132.66,134.71,5860661.55795
2026-05-20,138.0,144.9,137.81,144.0,7901626.364692
2026-05-21,145.47,149.28,144.88,149.08,4621390.275522
2026-05-22,151.03,157.57,150.75,156.27,8062520.151333
