date,open,high,low,close,volume
2026-02-06,44.63,47.61,44.45,47.5,21345.0
2026-02-09,47.0,47.4,45.56,46.95,18942.0
2026-02-10,47.45,48.72,47.135,47.88,25201.0
2026-02-11,48.01,48.2,46.58,47.17,14689.0
2026-02-12,47.76,48.64,44.89,45.23,31951.0
2026-02-13,45.17,46.12,44.47,45.21,18371.0
2026-02-17,45.0,45.33,43.25,45.07,16292.0
2026-02-18,45.21,46.81,45.21,46.18,19053.0
2026-02-19,45.23,45.47,44.52,45.25,22599.0
2026-02-20,44.65,46.62,44.65,46.62,50095.0
2026-02-23,45.58,45.72,42.4,43.66,38468.529675
2026-02-24,44.14,45.8993,44.14,45.66,13045.946855
2026-02-25,46.2,46.53,45.5,46.06,13228.122597
2026-02-26,45.91,46.62,44.9601,46.01,11998.046603
2026-02-27,44.5,45.727,44.42,45.71,9278.329066
2026-03-02,42.51,44.24,42.01,44.01,28658.455755
2026-03-03,41.48,43.05,39.99,42.79,26895.07449
2026-03-04,43.7,45.2,43.48,45.02,20321.265247
2026-03-05,44.31,45.8,44.25,45.22,9698.462646
2026-03-06,43.06,43.16,41.94,42.97,11596.794574
2026-03-09,40.52,43.13,38.85,42.93,20161.891183
2026-03-10,42.69,43.95,42.26,42.76,10286.274603
2026-03-11,43.64,43.7,41.75,42.38,8230.876162
2026-03-12,41.03,41.31,39.47,39.49,11059.009445
2026-03-13,39.5,39.97,38.649,38.76,15263.022398
2026-03-16,39.85,40.74,39.73,40.13,10272.197595
2026-03-17,41.05,41.58,40.91,41.15,15719.100709
2026-03-18,40.5,40.84,38.13,38.32,17855.804637
2026-03-19,37.5,37.88,36.635,37.41,25297.665715
2026-03-20,36.64,36.64,34.75,35.35,15994.689364
2026-03-23,37.5,39.02,37.5,37.88,50475.713156
2026-03-24,36.96,37.82,36.63,37.34,39870.966624
2026-03-25,38.96,39.2109,37.82,38.42,25715.431064
2026-03-26,37.47,38.5,36.31,36.32,76811.605051
2026-03-27,35.92,35.92,32.98,33.2,49029.860567
2026-03-30,34.23,34.49,32.7408,33.12,19077.975423
2026-03-31,34.77,36.565,34.385,36.27,18392.508138
2026-04-01,36.78,37.71,36.1701,37.14,53018.09468
2026-04-02,34.59,36.66,34.3,35.41,106904.115544
2026-04-06,35.41,36.21,35.29,36.2,108953.6661
2026-04-07,35.25,35.33,33.68,34.98,50064.922245
2026-04-08,39.0,39.46,37.46,37.93,77900.700909
2026-04-09,37.75,39.98,37.54,39.87,70171.043376
2026-04-10,40.25,40.42,39.355,40.02,51233.817156
2026-04-13,39.28,41.07,39.09,41.02,36080.503433
2026-04-14,41.97,44.17,41.97,43.71,65168.071683
2026-04-15,43.71,46.02,43.51,45.67,54602.990078
2026-04-16,46.19,46.19,44.5,45.07,66360.038876
2026-04-17,47.24,49.8501,47.24,48.23,95104.300902
2026-04-20,47.77,48.02,46.46,47.54,58302.58531
2026-04-21,48.15,48.66,46.2665,46.55,35416.961897
2026-04-22,47.29,47.37,46.16,46.53,17576.274233
2026-04-23,46.035,46.06,44.02,45.16,84286.69732
2026-04-24,45.26,46.25,45.0,46.01,83132.215695
2026-04-27,45.76,45.76,44.615,45.15,53979.812217
2026-04-28,44.67,44.98,44.081,44.17,35532.380207
2026-04-29,43.3,44.03,43.2,43.96,18919.72308
2026-04-30,45.52,45.945,43.55,45.57,43945.867208
2026-05-01,45.96,47.17,45.16,45.93,36068.633159
2026-05-04,45.69,46.6,44.4,44.81,41067.816273
2026-05-05,45.93,46.19,45.205,45.24,38191.774318
2026-05-06,46.26,47.98,46.2,47.26,40071.378363
2026-05-07,48.33,48.72,46.64,47.24,29459.758458
2026-05-08,47.87,48.61,47.43,47.65,23829.982727
2026-05-11,46.44,47.11,45.64,46.64,26717.713159
2026-05-12,45.97,46.13,44.43,45.37,26331.035323
2026-05-13,44.96,46.3,44.395,45.85,13659.556807
2026-05-14,46.55,46.55,45.77,45.77,38297.373419
2026-05-15,43.99,44.01,43.04,43.29,47436.98506
2026-05-18,42.96,44.56,42.21,43.0,74406.132483
2026-05-19,41.81,41.82,40.78,41.56,49267.783225
2026-05-20,41.65,44.73,41.56,44.73,23354.838269
2026-05-21,43.56,46.0,43.41,45.58,37209.49191
2026-05-22,46.29,46.74,45.92,46.09,13173.360725
