date,open,high,low,close,volume
2026-02-06,161.06,164.195,157.815,162.92,4170082.0
2026-02-09,149.705,154.8,147.35,154.56,9167416.0
2026-02-10,156.14,158.5,152.15,153.23,6237078.0
2026-02-11,153.02,153.9999,142.72,144.55,5273533.0
2026-02-12,144.575,146.0,140.59,144.04,4828075.0
2026-02-13,144.26,147.38,141.7,144.42,5648557.0
2026-02-17,145.23,146.27,139.91,143.12,5237652.0
2026-02-18,141.575,144.48,139.38,142.63,5234092.0
2026-02-19,142.49,142.49,139.405,140.02,2818475.0
2026-02-20,138.7,143.85,136.64,137.81,4021163.0
2026-02-23,134.41,134.52,125.83,129.21,6613702.841437
2026-02-24,128.92,134.72,126.62,130.23,10444068.779962
2026-02-25,119.56,133.88,117.76,133.15,22353644.23495
2026-02-26,137.0,142.5671,135.82,139.11,10069670.911719
2026-02-27,132.99,134.1,129.03,133.76,9230656.8335
2026-03-02,131.765,136.22,131.765,134.01,5852713.898336
2026-03-03,132.7,143.76,132.7,143.61,6859371.988999
2026-03-04,144.2,145.84,141.275,143.04,4964150.46603
2026-03-05,144.1,148.97,144.1,147.18,5408276.953913
2026-03-06,146.4,151.23,144.365,151.04,4918951.567157
2026-03-09,149.69,153.9,147.19,148.14,5461047.689025
2026-03-10,147.05,147.65,139.31,142.49,5230139.142911
2026-03-11,143.0,145.5,136.56,137.84,4447772.722177
2026-03-12,137.28,141.6,133.845,134.14,4423240.525564
2026-03-13,134.6,135.98,130.91,133.09,4252763.664847
2026-03-16,133.635,136.86,132.24,133.63,6331197.254092
2026-03-17,133.9,139.38,133.9,135.17,3477846.084722
2026-03-18,134.15,135.19,130.62,132.29,3598677.68573
2026-03-19,132.49,137.14,132.18,133.38,3963536.518753
2026-03-20,132.02,136.88,128.75,135.96,9233661.278878
2026-03-23,137.19,138.085,134.165,137.06,4494304.772689
2026-03-24,135.33,136.55,128.28,129.29,5236638.932087
2026-03-25,131.41,133.0,125.88,127.07,5292980.596718
2026-03-26,127.29,130.3875,126.0,127.97,5233421.218833
2026-03-27,127.23,127.375,122.3,124.18,3639577.501985
2026-03-30,124.6,129.92,124.6,128.77,3590087.084117
2026-03-31,128.88,131.41,127.38,129.92,3318934.141238
2026-04-01,129.825,131.01,125.02,129.05,4398661.060796
2026-04-02,129.64,132.6869,127.3,132.26,2990573.759819
2026-04-06,131.97,132.37,127.61,129.72,2768380.411693
2026-04-07,128.39,130.4,126.9,127.51,2581360.905789
2026-04-08,129.43,130.13,118.7,119.17,7365931.042112
2026-04-09,115.59,117.4498,110.36,113.06,11055320.122552
2026-04-10,113.05,114.25,110.49,112.5,6944317.034214
2026-04-13,114.3,121.455,113.77,119.92,5674404.710353
2026-04-14,119.12,122.13,116.77,117.86,3906700.105638
2026-04-15,120.155,124.66,118.26,124.12,3813627.795294
2026-04-16,129.89,132.14,123.8,124.87,4356264.663249
2026-04-17,127.99,128.785,122.23,123.83,5053143.308083
2026-04-20,124.01,128.02,124.01,127.94,6523861.0734
2026-04-21,128.01,133.045,126.48,129.16,3595105.845692
2026-04-22,129.8,132.7,125.61,126.6,4368061.508589
2026-04-23,115.38,119.21,113.57,114.67,8491063.84124
2026-04-24,117.0,119.77,114.36,119.76,5528948.298274
2026-04-27,117.66,120.69,117.025,117.83,4306950.454806
2026-04-28,120.305,123.37,119.74,121.18,3716133.822878
2026-04-29,120.0,122.5,117.97,122.43,3254201.107857
2026-04-30,120.31,122.57,117.68,122.4,5604349.055534
2026-05-01,129.09,131.0,121.24,126.96,6019453.402113
2026-05-04,127.33,131.0,126.19,127.89,3460863.253966
2026-05-05,127.225,128.97,124.31,128.875,3859214.577228
2026-05-06,126.85,127.295,121.09,122.63,4683143.959314
2026-05-07,125.72,133.36,125.72,130.88,6015541.125198
2026-05-08,125.7,127.885,123.16,127.83,4252775.547458
2026-05-11,126.75,128.98,120.55,121.42,3709459.320315
2026-05-12,122.53,124.0,118.4801,118.62,2816310.488835
2026-05-13,115.56,117.36,112.545,116.5,5157370.53244
2026-05-14,116.785,120.77,115.3,118.75,3843503.012861
2026-05-15,119.965,125.59,119.965,125.01,5160388.901153
2026-05-18,123.09,130.8041,123.09,128.88,4611697.317203
2026-05-19,132.8,135.93,128.08,129.34,4478918.644612
2026-05-20,124.81,127.43,122.205,126.61,6059972.063564
2026-05-21,121.51,122.945,119.04,121.85,9182939.707557
2026-05-22,128.74,133.71,125.16,128.14,10789758.244063
