date,open,high,low,close,volume
2026-02-02,100.03,100.07,100.0124,100.05,36817.0
2026-02-03,99.99,100.06,99.99,100.0296,25557.0
2026-02-04,100.04,100.05,99.98,100.0,56303.0
2026-02-05,99.99,100.05,99.99,100.0277,34118.0
2026-02-06,100.02,100.06,100.02,100.05,27051.0
2026-02-09,100.02,100.07,100.02,100.045,37682.0
2026-02-10,100.04,100.04,100.0201,100.03,17128.0
2026-02-11,100.0,100.0399,100.0,100.025,34507.0
2026-02-12,100.04,100.06,100.0143,100.06,17234.0
2026-02-13,100.03,100.09,100.03,100.087,29838.0
2026-02-17,100.06,100.1,100.04,100.1,33357.0
2026-02-18,100.09,100.09,100.03,100.033,25688.0
2026-02-19,100.02,100.058,100.02,100.033,22036.0
2026-02-20,100.0329,100.07,100.03,100.0644,19610.0
2026-02-23,100.1,100.1,100.03,100.03,50416.606343
2026-02-24,100.01,100.04,100.01,100.02,38969.501368
2026-02-25,100.02,100.0491,100.02,100.03,25592.790424
2026-02-26,100.03,100.06,100.03,100.0537,17160.204423
2026-02-27,100.08,100.08,100.033,100.033,33632.391525
2026-03-02,100.05,100.0723,100.02,100.033,30954.66146
2026-03-03,100.0,100.05,100.0,100.01,61974.353313
2026-03-04,100.02,100.05,100.0,100.022,16523.829745
2026-03-05,100.07,100.07,100.01,100.035,33899.863912
2026-03-06,100.05,100.07,100.0295,100.053,30655.536779
2026-03-09,100.07,100.12,100.05,100.105,56046.082176
2026-03-10,100.11,100.11,100.02,100.05,28572.910197
2026-03-11,100.03,100.19,100.0,100.02,30338.50427
2026-03-12,100.04,100.04,100.01,100.0325,31615.322259
2026-03-13,100.06,100.1084,100.01,100.0651,27071.963005
2026-03-16,100.1,100.1,100.03,100.0842,24637.057447
2026-03-17,100.1,100.1,100.0,100.003,29942.484138
2026-03-18,100.0,100.04,100.0,100.03,33020.083214
2026-03-19,100.04,100.05,100.0,100.01,32765.069408
2026-03-20,100.0,100.06,100.0,100.055,39330.897653
2026-03-23,100.1,100.1,100.0582,100.1,44862.473444
2026-03-24,100.06,100.06,100.02,100.05,29863.818333
2026-03-25,100.05,100.07,100.02,100.06,24375.470207
2026-03-26,100.02,100.05,100.013,100.013,54338.900835
2026-03-27,100.1,100.11,100.02,100.04,59088.985411
2026-03-30,100.05,100.09,100.05,100.08,50017.154485
2026-03-31,100.05,100.06,100.03,100.03,59284.735231
2026-04-01,100.03,100.07,100.0,100.07,62092.751985
2026-04-02,100.1,100.1099,100.04,100.06,88476.851784
2026-04-06,100.065,100.08,100.06,100.07,62354.836195
2026-04-07,100.02,100.04,100.02,100.03,49027.478061
2026-04-08,100.04,100.05,100.03,100.03,50596.305499
2026-04-09,100.03,100.07,100.03,100.03,57167.79327
2026-04-10,100.08,100.08,100.05,100.05,40501.416462
2026-04-13,100.09,100.09,100.04,100.05,59866.09562
2026-04-14,100.01,100.03,100.0,100.0,73993.025019
2026-04-15,100.02,100.0395,100.0,100.01,63692.139079
2026-04-16,100.01,100.04,100.01,100.03,31728.247743
2026-04-17,100.03,100.075,100.02,100.07,41600.434466
2026-04-20,100.05,100.08,100.05,100.08,36904.414623
2026-04-21,100.0,100.02,99.99,100.02,64060.754421
2026-04-22,100.0,100.03,100.0,100.03,38540.326913
2026-04-23,100.03,100.04,100.01,100.015,36027.772113
2026-04-24,100.06,100.06,100.0401,100.0549,22370.683419
2026-04-27,100.07,100.08,100.04,100.08,46249.728092
2026-04-28,100.0,100.03,100.0,100.015,31003.532292
2026-04-29,100.04,100.05,100.0,100.025,38576.015422
2026-04-30,100.01,100.0499,100.01,100.03,35535.502645
2026-05-01,100.05,100.08,100.04,100.057,77964.93825
2026-05-04,100.05,100.09,100.05,100.085,42415.366575
2026-05-05,100.03,100.0401,100.02,100.03,34418.651976
2026-05-06,100.05,100.07,100.02,100.023,40413.888403
2026-05-07,100.06,100.06,100.0101,100.04,28648.082299
2026-05-08,100.05,100.09,100.04,100.08,31184.446642
2026-05-11,100.07,100.08,100.06,100.07,37797.129724
2026-05-12,100.04,100.04,100.0,100.0,54395.536576
2026-05-13,100.03,100.04,100.0,100.02,54929.872329
2026-05-14,100.02,100.05,100.01,100.01,48685.716369
2026-05-15,100.025,100.06,100.015,100.04,65461.107802
2026-05-18,100.04,100.08,100.04,100.08,38659.966066
2026-05-19,100.0,100.04,100.0,100.025,28088.813925
2026-05-20,100.04,100.04,100.02,100.04,51629.420103
2026-05-21,100.01,100.04,100.01,100.04,28109.27847
2026-05-22,100.04,100.09,100.04,100.05,35334.479841
2026-05-26,100.05,100.06,100.03,100.05,35924.699275
2026-05-27,100.01,100.05,100.0,100.0,35792.497191
2026-05-28,100.01,100.05,99.99,100.03,60404.426711
2026-05-29,100.0,100.05,100.0,100.0351,37968.081306
2026-06-01,100.03,100.06,100.03,100.04,36442.680072
2026-06-02,100.0,100.0299,99.9956,100.01,28428.850631
2026-06-03,100.03,100.0382,100.01,100.03,23240.395146
2026-06-04,100.04,100.04,100.01,100.02,21812.747352
2026-06-05,100.04,100.0697,100.04,100.0551,58384.759427
2026-06-08,100.05,100.098,100.05,100.098,39019.540098
2026-06-09,100.02,100.0672,100.01,100.0114,46255.956315
2026-06-10,100.03,100.03,100.0,100.0,32263.362965
2026-06-11,100.03,100.03,100.01,100.01,43832.356503
2026-06-12,100.02,100.06,100.02,100.06,74336.538289
