date,open,high,low,close,volume
2026-02-06,14.97,16.43,14.2433,15.74,2387166.0
2026-02-09,15.75,16.165,14.85,14.89,2094972.0
2026-02-10,15.05,16.3,14.77,15.8,2847437.0
2026-02-11,16.29,18.25,15.89,18.03,2403115.0
2026-02-12,17.7,17.8,15.85,16.0,2281659.0
2026-02-13,16.01,18.78,16.01,17.74,2009625.0
2026-02-17,17.27,20.0961,17.09,19.12,2412893.0
2026-02-18,19.31,20.49,18.7,19.59,1387924.0
2026-02-19,19.43,19.43,18.7,19.06,649403.0
2026-02-20,18.79,19.49,18.34,18.66,932401.0
2026-02-23,18.5,19.5799,18.02,18.47,1113062.112396
2026-02-24,18.42,20.4,18.22,20.15,2039374.499955
2026-02-25,20.68,20.8,19.65,20.47,2192930.238641
2026-02-26,20.2,20.74,18.8,20.21,1394011.17323
2026-02-27,19.79,19.895,18.63,19.72,1332001.096898
2026-03-02,18.77,22.19,18.71,21.21,2183864.10068
2026-03-03,20.15,21.08,19.37,20.85,1771310.40073
2026-03-04,21.17,21.81,20.21,20.59,1540433.783921
2026-03-05,20.3,20.425,18.86,18.94,1435298.791919
2026-03-06,18.5,18.5,16.38,16.57,3276791.590076
2026-03-09,16.28,17.87,15.832,17.76,1494323.394305
2026-03-10,17.08,17.88,16.5,16.58,1950050.04518
2026-03-11,16.61,18.3499,16.57,18.2,1599438.242952
2026-03-12,18.0,18.19,16.91,16.97,953221.26149
2026-03-13,17.2,18.2,16.7,16.7,1201311.320506
2026-03-16,17.3,18.95,17.3,18.34,1788938.870727
2026-03-17,18.22,18.4,17.45,17.89,1117915.658776
2026-03-18,17.74,17.85,16.78,16.78,1172056.996548
2026-03-19,16.12,17.32,15.64,17.06,1539445.501122
2026-03-20,16.96,17.06,16.04,16.32,3273647.4144
2026-03-23,16.39,17.07,15.93,16.6,1370329.819428
2026-03-24,16.2,16.94,16.05,16.67,1013254.004164
2026-03-25,16.7,18.5,16.7,18.5,1196776.919835
2026-03-26,18.11,18.37,16.82,16.82,788296.778904
2026-03-27,16.5,16.6,15.35,15.44,1320338.040121
2026-03-30,15.58,15.7,14.58,14.8,1120452.680122
2026-03-31,15.12,16.55,14.61,16.32,1352625.092843
2026-04-01,16.4,16.77,16.09,16.45,854767.077761
2026-04-02,15.58,17.6,15.51,17.47,903537.655752
2026-04-06,17.5,18.71,17.5,18.05,912618.129075
2026-04-07,17.92,18.93,17.8501,18.93,763579.319235
2026-04-08,19.9,20.79,19.51,20.56,2454812.887072
2026-04-09,20.96,25.09,20.53,24.43,4499576.014296
2026-04-10,24.94,25.8999,22.2,23.22,3250944.031045
2026-04-13,23.48,24.93,23.1,24.15,2140331.569072
2026-04-14,24.8,25.05,22.73,23.0,1926353.99829
2026-04-15,22.61,24.63,21.5,23.9,2595885.973482
2026-04-16,24.27,28.08,24.0,26.54,3727996.316245
2026-04-17,26.5,27.06,24.77,25.56,2008618.348139
2026-04-20,25.62,28.69,24.91,26.33,3478728.504959
2026-04-21,26.83,30.2475,24.65,24.7,10031736.022608
2026-04-22,26.49,29.45,25.8308,27.75,9070228.590611
2026-04-23,27.85,29.77,26.6,27.55,4850516.901909
2026-04-24,29.1,32.77,29.1,31.23,8408780.310027
2026-04-27,32.17,32.4,28.4,29.67,4884111.35337
2026-04-28,27.9,28.96,25.08,25.85,5147071.625896
2026-04-29,26.4,27.5,25.17,25.63,2267247.402328
2026-04-30,26.4,29.665,26.38,29.53,6265918.194938
2026-05-01,29.4,37.55,28.959,36.76,8391555.440983
2026-05-04,36.29,37.68,34.8,35.94,4347156.355106
2026-05-05,38.69,40.25,36.435,36.63,10737385.415315
2026-05-06,32.5,43.38,32.0,43.08,14847788.552429
2026-05-07,43.09,49.0,43.0115,45.16,10870389.245531
2026-05-08,47.8,50.9881,45.62,46.6,6561252.294981
2026-05-11,49.0,53.98,48.26,50.31,9139193.137975
2026-05-12,49.24,53.98,45.2,53.72,12280709.276465
2026-05-13,66.63,73.74,58.6,62.6,33734682.80718
2026-05-14,63.355,72.3499,60.15,69.96,18056762.111046
2026-05-15,62.8,66.0,59.51,62.13,10021503.407532
2026-05-18,63.54,69.5,55.1,59.35,10116828.45841
2026-05-19,55.69,62.01,55.67,58.83,5816238.368418
2026-05-20,62.44,63.47,53.78,58.62,7637253.516984
2026-05-21,59.52,72.17,58.95,69.5,9319809.736578
2026-05-22,71.5,80.82,68.27,69.89,10942857.594412
2026-05-26,77.78,80.7,70.8,73.5,11498936.947877
2026-05-27,73.39,74.0328,56.5,63.26,16538425.820755
2026-05-28,62.45,69.27,58.5,65.05,6882611.568711
2026-05-29,65.69,66.5,58.14,59.28,7564520.086923
2026-06-01,54.78,59.065,49.66,52.95,11534287.225967
2026-06-02,55.8,62.78,54.99,61.06,8835433.455813
2026-06-03,65.9,67.25,60.34,61.67,8006645.695093
2026-06-04,57.3,70.0,56.62,67.06,7759032.869852
2026-06-05,63.125,63.503,54.11,55.06,7787805.41346
