date,open,high,low,close,volume
2026-02-02,13.0,14.08,12.955,13.44,26077713.0
2026-02-03,15.07,15.6,13.65,14.8,63676750.0
2026-02-04,14.3,14.42,12.39,13.88,51285748.0
2026-02-05,13.31,13.96,11.735,11.92,44177029.0
2026-02-06,12.725,14.455,12.565,14.29,46525726.0
2026-02-09,15.105,16.83,14.93,16.65,65639084.0
2026-02-10,16.21,17.695,16.02,16.63,59262750.0
2026-02-11,16.925,17.0599,15.3601,16.03,39560919.0
2026-02-12,16.22,16.9699,15.72,15.91,39190105.0
2026-02-13,16.425,17.585,15.2,16.26,43021841.0
2026-02-17,15.78,16.66,15.07,16.18,28919890.0
2026-02-18,16.0,16.455,15.19,15.38,28263548.0
2026-02-19,15.0,15.52,14.43,15.47,23465873.0
2026-02-20,15.33,15.79,14.625,15.01,27157246.0
2026-02-23,14.44,15.695,14.31,15.68,25296803.296661
2026-02-24,15.39,18.03,15.33,17.56,46405142.617262
2026-02-25,18.295,18.51,17.635,17.92,39951805.240408
2026-02-26,18.13,18.3299,17.25,17.88,25734529.542212
2026-02-27,17.15,17.84,15.685,16.22,34007373.210138
2026-03-02,15.55,16.8,15.53,16.02,26229006.683305
2026-03-03,14.42,15.35,14.33,14.74,33732536.3201
2026-03-04,15.448,15.93,15.0785,15.37,23717644.684713
2026-03-05,15.22,15.57,14.4818,15.23,27792373.371199
2026-03-06,14.79,14.98,13.74,13.75,32679727.986129
2026-03-09,13.55,14.15,13.02,13.85,27935949.942793
2026-03-10,14.205,14.87,14.09,14.35,24195688.55369
2026-03-11,14.39,15.8,14.31,15.22,31896216.92662
2026-03-12,14.8,14.94,14.072,14.67,24942620.472486
2026-03-13,15.13,16.0,14.55,14.67,27556907.011223
2026-03-16,15.5,16.815,15.49,16.41,41563630.384422
2026-03-17,16.065,16.545,15.47,16.04,33170521.925559
2026-03-18,16.05,16.29,15.28,15.3,25526576.67356
2026-03-19,15.04,15.83,14.6,15.74,23070257.132795
2026-03-20,15.67,15.76,14.49,15.1,30799138.185456
2026-03-23,15.685,17.08,15.66,16.19,39044720.337305
2026-03-24,16.0,16.6501,15.6301,16.22,30430830.626129
2026-03-25,16.75,17.75,16.515,16.86,30421039.548834
2026-03-26,16.52,16.58,15.17,15.35,27329881.597612
2026-03-27,15.14,15.37,14.575,14.89,22172005.516274
2026-03-30,15.275,15.275,13.195,13.7,30827222.556921
2026-03-31,14.18,14.6299,13.35,14.43,29665747.910814
2026-04-01,14.61,15.13,14.305,14.48,22950562.631057
2026-04-02,13.724,15.02,13.465,14.88,22445937.94227
2026-04-06,14.94,15.785,14.9,15.55,16760020.635865
2026-04-07,15.41,16.66,15.3227,16.57,31493955.712795
2026-04-08,17.64,18.33,16.92,18.05,54453164.847737
2026-04-09,18.24,19.5,18.1406,19.03,46049340.282067
2026-04-10,19.24,20.21,18.76,18.87,33619653.178451
2026-04-13,18.3605,19.9,18.3,19.45,23633889.956238
2026-04-14,20.185,20.98,19.55,20.95,35164553.998461
2026-04-15,19.94,20.2,19.325,19.67,62712911.58797
2026-04-16,19.77,19.77,18.245,19.31,38172250.003182
2026-04-17,19.54,20.71,18.93,20.64,43045574.134259
2026-04-20,20.35,21.34,20.01,20.5,33982455.581923
2026-04-21,20.53,20.6999,19.44,19.77,27151338.841784
2026-04-22,20.35,20.695,19.61,20.55,23841780.544231
2026-04-23,20.52,21.6,20.23,20.37,36227461.483219
2026-04-24,21.05,21.6,19.84,20.01,33914992.87688
2026-04-27,20.33,21.46,20.0,21.43,33033143.417077
2026-04-28,20.73,21.295,20.235,20.8,27015035.379824
2026-04-29,21.22,21.24,19.57,20.02,23647889.151784
2026-04-30,20.74,22.07,20.6665,21.73,39766724.307198
2026-05-01,21.99,22.625,21.16,21.31,28364308.12137
2026-05-04,21.49,22.44,21.2301,22.29,24924775.933079
2026-05-05,22.78,23.7,22.582,23.49,32286311.420692
2026-05-06,24.71,25.76,23.87,25.74,44935107.799049
2026-05-07,25.06,25.19,23.475,24.02,36739288.235966
2026-05-08,25.5,25.75,22.7401,23.39,36270219.274459
2026-05-11,23.075,24.36,22.12,23.37,25227085.800503
2026-05-12,23.0,23.33,21.635,22.8,24896446.854259
2026-05-13,23.365,23.62,22.45,23.12,21977956.194915
2026-05-14,23.33,24.33,22.88,24.17,22965973.206856
2026-05-15,23.12,23.15,22.05,22.32,23972883.800782
2026-05-18,21.4,21.69,20.26,21.14,31192672.430397
2026-05-19,20.8,21.405,19.6,21.34,22704295.104163
2026-05-20,21.95,22.48,21.4,21.63,20084821.300799
2026-05-21,22.09,23.0493,21.715,22.92,20174677.975537
2026-05-22,22.66,23.24,21.88,22.82,20786447.096256
2026-05-26,24.455,25.925,24.19,25.18,46110125.826782
2026-05-27,26.19,26.855,24.915,26.74,36659529.608148
2026-05-28,26.88,27.26,26.22,26.395,24376301.834553
2026-05-29,26.3,26.32,24.66,25.56,26691994.556124
2026-06-01,24.55,26.275,23.94,25.66,26085382.975371
2026-06-02,26.31,27.465,26.04,26.49,25893933.621668
2026-06-03,27.385,27.43,25.735,26.16,24637359.974829
2026-06-04,25.41,26.57,24.75,26.19,22561065.856408
2026-06-05,25.21,25.21,22.99,24.0,26701300.220683
2026-06-08,24.9,26.1964,24.32,25.86,23127601.77699
2026-06-09,26.9358,27.78,24.095,25.3,34587783.835078
2026-06-10,24.925,25.6,23.06,23.19,28072780.885255
2026-06-11,23.29,25.41,23.24,25.35,29914889.22219
