date,open,high,low,close,volume
2026-02-02,6.46,6.64,6.281,6.35,28970.0
2026-02-03,6.42,6.49,5.96,5.96,15221.0
2026-02-04,5.96,5.96,5.27,5.94,73235.0
2026-02-05,5.87,5.95,5.51,5.95,23396.0
2026-02-06,5.95,5.95,5.5,5.6,53880.0
2026-02-09,5.7,5.79,5.6,5.76,23129.0
2026-02-10,5.78,5.82,5.55,5.66,16091.0
2026-02-11,5.61,5.65,4.95,4.95,73476.0
2026-02-12,5.09,5.1184,4.75,4.87,69201.0
2026-02-13,4.84,5.165,4.8,4.93,67423.0
2026-02-17,5.1,5.2178,4.95,4.99,45997.0
2026-02-18,4.99,5.13,4.81,4.89,61054.0
2026-02-19,4.88,5.0,4.54,4.72,76611.0
2026-02-20,4.74,4.9799,4.63,4.89,31404.0
2026-02-23,4.89,4.89,4.2,4.33,108246.9
2026-02-24,4.22,4.36,3.96,3.96,61276.75
2026-02-25,4.11,4.649,4.01,4.46,40858.83
2026-02-26,4.39,4.555,4.3,4.36,18724.0
2026-02-27,4.3,4.9,4.3,4.82,37947.306
2026-03-02,4.67,4.99,4.67,4.81,12288.5741
2026-03-03,4.73,4.73,4.32,4.59,61295.782961
2026-03-04,4.64,4.83,4.61,4.74,31241.0
2026-03-05,4.65,4.78,4.5401,4.67,15321.0
2026-03-06,4.65,4.65,4.5,4.63,13066.0
2026-03-09,4.56,4.58,4.44,4.49,14572.495
2026-03-10,4.48,4.56,4.395,4.42,15215.0
2026-03-11,4.51,4.51,4.33,4.4,11021.555465
2026-03-12,4.38,4.5,4.3,4.43,20864.0
2026-03-13,4.43,4.61,4.43,4.46,8725.0
2026-03-16,4.52,5.1999,4.52,4.98,26468.333526
2026-03-17,5.01,5.29,4.9,5.02,29562.886
2026-03-18,5.04,5.0836,4.73,4.73,7144.0
2026-03-19,4.82,4.82,4.44,4.69,70301.718567
2026-03-20,4.55,5.125,4.55,5.1,54503.007516
2026-03-23,5.1,5.76,5.1,5.65,63515.479345
2026-03-24,5.78,5.79,5.21,5.25,56162.93705
2026-03-25,5.36,5.61,5.0,5.39,27771.275867
2026-03-26,5.02,5.155,4.6,4.77,76731.765848
2026-03-27,4.69,4.76,4.62,4.62,19225.923619
2026-03-30,4.65,4.79,4.5,4.65,49307.214459
2026-03-31,4.66,4.995,4.61,4.99,13091.770453
2026-04-01,4.81,5.135,4.67,4.98,28418.732431
2026-04-02,4.78,5.075,4.6001,4.87,23660.424763
2026-04-06,4.77,5.1,4.77,5.03,9161.51871
2026-04-07,5.03,5.115,4.825,4.9,12206.547
2026-04-08,5.05,5.08,4.9,4.9,11728.235643
2026-04-09,5.02,5.11,4.77,4.79,25213.4478
2026-04-10,4.89,4.89,4.75,4.77,16217.532507
2026-04-13,4.75,4.91,4.75,4.81,61159.959617
2026-04-14,4.87,5.04,4.82,5.02,50241.698149
2026-04-15,5.02,5.21,4.91,5.21,27704.886451
2026-04-16,5.2,5.24,4.9501,5.18,18896.234908
2026-04-17,5.09,5.25,5.05,5.25,13145.835967
2026-04-20,5.22,5.22,4.8915,5.08,24827.546288
2026-04-21,5.15,5.15,4.88,4.99,30579.868189
2026-04-22,5.0,5.1565,4.65,4.66,90917.127751
2026-04-23,4.65,4.76,4.65,4.76,39980.419193
2026-04-24,4.68,4.79,4.6,4.77,14151.046
2026-04-27,4.8,5.65,4.8,5.45,89237.055584
2026-04-28,5.55,6.4799,5.48,6.17,175355.750299
2026-04-29,6.19,6.64,6.0747,6.4,50062.382253
2026-04-30,6.5,6.6399,6.05,6.34,49688.416241
2026-05-01,6.24,7.03,6.2101,6.86,73222.150779
2026-05-04,6.92,9.32,6.8883,8.85,480566.07528
2026-05-05,10.0,10.49,8.9001,9.6,595495.896651
2026-05-06,9.46,9.46,7.69,8.16,284296.60613
2026-05-07,8.01,9.1358,8.01,8.64,58623.119678
2026-05-08,8.44,8.48,7.91,7.94,72509.600715
2026-05-11,8.12,9.0,8.12,8.92,79260.740158
2026-05-12,8.75,8.9,8.0,8.28,78660.9935
2026-05-13,8.37,8.555,8.0,8.24,57635.3184
2026-05-14,8.52,9.44,8.12,8.98,448784.791263
2026-05-15,10.09,10.77,9.4538,10.3,444411.364022
2026-05-18,10.28,10.32,8.99,9.67,257805.479348
2026-05-19,9.7,10.2299,9.4,9.95,89032.264127
2026-05-20,9.82,10.18,9.51,9.99,103975.671942
2026-05-21,10.03,10.15,9.62,9.8,71368.625552
2026-05-22,9.88,11.1558,9.8,10.9,157037.141109
2026-05-26,10.94,11.0,9.24,9.46,258225.814787
2026-05-27,9.5,10.78,8.81,10.27,153839.339979
2026-05-28,10.45,11.0,10.28,10.88,202378.657699
2026-05-29,10.72,11.44,10.27,11.29,253585.092627
2026-06-01,11.26,11.89,10.38,11.12,238283.594403
2026-06-02,10.61,12.1,10.61,11.44,129594.287296
2026-06-03,11.55,11.9974,11.2101,11.6,125701.58658
2026-06-04,11.56,12.25,11.15,11.27,151391.311457
2026-06-05,11.27,12.11,10.47,10.97,246520.06577
2026-06-08,10.87,11.43,10.7137,11.27,77550.943248
2026-06-09,11.23,11.85,11.07,11.65,135977.748769
2026-06-10,11.6,12.42,11.395,11.71,131534.408148
2026-06-11,11.74,12.49,11.7101,12.27,66497.767245
