date,open,high,low,close,volume
2026-02-02,143.53,146.145,143.39,145.26,16337576.0
2026-02-03,145.875,145.97,140.17,142.08,30464494.0
2026-02-04,140.83,141.0101,136.1051,138.12,45649454.0
2026-02-05,137.22,138.48,135.075,135.63,42950873.0
2026-02-06,138.01,141.47,137.42,141.13,37131922.0
2026-02-09,140.595,144.025,139.91,143.35,24629514.0
2026-02-10,143.82,144.15,142.385,142.55,22564318.0
2026-02-11,144.51,144.755,141.32,142.97,18905713.0
2026-02-12,143.31,143.77,138.915,139.21,32154746.0
2026-02-13,139.56,140.91,137.93,139.56,26637122.0
2026-02-17,138.64,140.45,137.02,139.48,25743800.0
2026-02-18,140.055,142.115,139.27,140.91,13705785.0
2026-02-19,140.09,140.71,139.275,140.21,13483972.0
2026-02-20,139.2,141.75,138.97,140.88,14942420.0
2026-02-23,140.18,140.65,137.89,138.52,22021923.926957
2026-02-24,139.24,140.94,138.19,140.32,13030621.087595
2026-02-25,141.36,143.34,141.21,143.01,13296046.084486
2026-02-26,142.94,143.01,139.26,141.01,19364871.450099
2026-02-27,138.31,139.765,137.94,138.76,15328602.343828
2026-03-02,137.03,139.96,136.56,139.54,20156667.699197
2026-03-03,136.355,138.33,134.99,137.5,34153036.494323
2026-03-04,138.53,140.63,138.04,139.84,15201380.780351
2026-03-05,139.16,141.26,138.09,140.18,19424199.356456
2026-03-06,137.82,139.83,136.79,137.29,19677214.694369
2026-03-09,135.97,140.21,135.46,139.76,22760857.425599
2026-03-10,139.84,141.39,139.02,139.76,24338517.565182
2026-03-11,140.58,141.59,139.52,140.43,14017700.425486
2026-03-12,139.27,139.745,137.65,137.84,32372780.706576
2026-03-13,138.45,139.705,136.515,136.8,15701792.841705
2026-03-16,138.72,140.08,138.52,138.78,16626428.44227
2026-03-17,139.39,140.27,138.93,139.54,12034647.64746
2026-03-18,139.31,140.07,137.93,137.96,12634543.095906
2026-03-19,136.0,139.17,135.44,138.43,18087931.176206
2026-03-20,137.98,137.98,134.3224,135.29,27251819.309391
2026-03-23,137.5,139.2,136.22,136.95,21818519.371713
2026-03-24,136.05,136.92,134.87,136.15,16843862.295247
2026-03-25,137.29,137.995,136.28,136.76,13872406.206152
2026-03-26,135.18,135.52,132.42,132.5,15434571.035542
2026-03-27,131.53,132.045,129.575,129.92,15895156.270391
2026-03-30,131.27,131.55,126.68,127.5,18830030.696678
2026-03-31,129.15,133.215,128.98,132.9,19405309.014761
2026-04-01,134.115,136.045,133.76,134.91,17050137.850829
2026-04-02,131.905,136.04,131.3546,135.99,12266188.583256
2026-04-06,136.48,137.25,135.71,136.78,10147634.554347
2026-04-07,136.17,137.49,134.11,137.43,8585455.79028
2026-04-08,143.13,143.56,140.735,141.69,13358980.313293
2026-04-09,141.76,142.185,140.35,142.07,8235144.384899
2026-04-10,142.5,143.56,141.9201,142.62,9310140.999818
2026-04-13,142.33,145.67,142.1307,145.61,10407699.970285
2026-04-14,146.9,147.94,146.08,147.94,10183303.003108
2026-04-15,148.27,150.37,147.96,150.3,10622480.71276
2026-04-16,150.99,152.1798,149.745,152.02,11778014.241693
2026-04-17,154.06,154.805,153.51,154.35,10630441.447206
2026-04-20,154.3,154.75,153.035,154.56,8131598.943445
2026-04-21,155.0,156.07,154.15,154.69,12657267.598628
2026-04-22,156.22,158.16,155.52,158.09,13830378.408685
2026-04-23,156.77,157.795,153.95,155.84,12151377.020229
2026-04-24,158.43,160.4,157.6,160.22,11059778.75137
2026-04-27,160.02,160.62,158.81,160.57,8963915.21653
2026-04-28,157.11,158.64,156.16,157.85,9252973.334808
2026-04-29,158.83,159.15,157.75,159.11,7506934.376284
2026-04-30,159.65,159.8,156.88,159.5,9276361.627351
2026-05-01,160.39,162.285,160.14,161.87,10161809.728338
2026-05-04,162.705,163.24,160.88,162.05,10739960.499318
2026-05-05,163.87,166.02,163.52,165.63,9813549.221557
2026-05-06,167.88,170.08,166.84,170.03,11304664.740403
2026-05-07,170.26,171.95,168.7,169.69,11031513.417057
2026-05-08,171.59,175.6,171.3,175.52,11222155.354626
2026-05-11,176.15,178.3,175.87,177.88,10461797.221036
2026-05-12,176.15,176.99,171.195,175.2,15950695.747593
2026-05-13,177.27,177.74,174.26,176.85,9817869.00262
2026-05-14,177.36,180.215,176.865,179.5,11424870.516069
2026-05-15,176.21,178.7,174.63,176.26,14518963.403738
2026-05-18,177.62,177.85,171.91,174.36,19162640.273304
2026-05-19,172.68,175.18,170.831,173.24,15751423.397351
2026-05-20,174.66,177.25,173.95,177.14,12630253.265188
2026-05-21,175.83,178.98,175.83,178.6,10873195.64379
2026-05-22,180.03,181.73,179.56,180.39,10742209.552344
2026-05-26,183.2,186.0,182.585,185.14,12500330.158228
2026-05-27,186.18,186.265,182.54,184.43,12300345.745023
2026-05-28,184.83,187.58,183.79,186.85,11167566.78381
2026-05-29,189.33,191.63,189.195,191.02,15040309.071869
2026-06-01,192.32,196.4999,191.15,195.76,18968777.450188
2026-06-02,196.45,198.38,195.75,198.21,10175184.54309
2026-06-03,198.37,198.73,194.525,196.23,11582093.34224
2026-06-04,191.52,194.74,189.69,193.17,13142622.450644
2026-06-05,188.885,189.22,179.8,180.3,26816074.027433
2026-06-08,185.22,186.71,183.1701,184.18,14684968.922139
2026-06-09,185.91,187.08,172.88,180.77,29884444.742258
2026-06-10,178.16,182.41,176.15,176.63,20059836.128601
2026-06-11,177.79,183.66,176.495,183.21,18238394.503883
