date,open,high,low,close,volume
2026-02-02,17.22,17.24,16.16,16.49,16635742.0
2026-02-03,16.8,17.24,16.535,17.16,7958892.0
2026-02-04,16.95,17.0,16.44,16.77,5182572.0
2026-02-05,16.96,17.205,16.675,16.88,8527573.0
2026-02-06,17.15,17.8,17.14,17.72,8274817.0
2026-02-09,17.51,17.83,17.37,17.54,5341308.0
2026-02-10,17.69,18.11,17.46,17.82,6002871.0
2026-02-11,17.91,18.17,17.85,18.11,4089868.0
2026-02-12,17.91,18.065,17.36,17.7,5157382.0
2026-02-13,17.58,18.11,17.58,17.94,3218201.0
2026-02-17,17.75,18.15,17.71,17.84,2397618.0
2026-02-18,17.84,17.95,17.745,17.82,2167156.0
2026-02-19,17.76,17.83,17.55,17.75,2162721.0
2026-02-20,17.31,17.625,17.2185,17.62,2417098.0
2026-02-23,17.67,17.92,17.4301,17.56,2329408.15642
2026-02-24,17.83,18.8,17.83,18.73,8462514.442553
2026-02-25,18.27,18.41,18.01,18.18,4648666.213729
2026-02-26,17.41,17.795,17.215,17.76,6469393.85111
2026-02-27,17.48,17.62,17.34,17.56,3129018.691714
2026-03-02,16.96,17.02,16.675,16.99,5474475.334231
2026-03-03,15.95,15.97,15.3801,15.87,9544301.35859
2026-03-04,16.035,16.315,16.02,16.17,6145500.056488
2026-03-05,16.27,16.6,16.01,16.34,5885774.970792
2026-03-06,16.52,17.43,16.5,17.32,9554598.781092
2026-03-09,17.92,18.8,17.91,18.45,14800178.979101
2026-03-10,18.71,19.25,18.52,18.87,7210293.932322
2026-03-11,19.27,19.54,18.95,19.29,6759824.425202
2026-03-12,19.59,20.42,19.59,19.98,13535126.587178
2026-03-13,20.3,20.48,19.97,19.97,11084128.551207
2026-03-16,19.73,20.295,19.64,20.09,4421273.939947
2026-03-17,19.95,20.01,19.14,19.16,9650654.331192
2026-03-18,18.99,19.095,18.7,18.77,5468518.907051
2026-03-19,18.7,19.215,18.52,19.15,5739580.044153
2026-03-20,18.355,18.7,17.39,17.55,14301623.233155
2026-03-23,18.31,19.05,18.16,18.87,10391506.663219
2026-03-24,18.55,19.04,18.48,18.86,4881337.474371
2026-03-25,18.5,18.895,18.41,18.86,4832488.59398
2026-03-26,18.04,18.19,17.315,17.61,8856737.694975
2026-03-27,17.53,17.67,16.82,16.93,6760082.752025
2026-03-30,17.05,17.09,16.565,16.72,5012287.602982
2026-03-31,16.6,17.2,16.25,17.11,5673263.030853
2026-04-01,17.47,17.725,17.39,17.51,5682648.0257
2026-04-02,17.02,17.725,17.02,17.7,3412044.618655
2026-04-06,17.71,17.77,17.3,17.4,2220677.568891
2026-04-07,17.26,17.34,16.875,17.22,2717891.265518
2026-04-08,18.01,18.08,17.74,17.8,4277827.964467
2026-04-09,17.2,17.345,16.87,17.29,5157018.918236
2026-04-10,17.23,17.745,17.2,17.42,5511519.228764
2026-04-13,17.28,17.49,17.2,17.47,2311453.879894
2026-04-14,17.25,17.895,17.235,17.87,5758396.857273
2026-04-15,17.31,17.7599,17.22,17.66,6689608.483415
2026-04-16,17.92,18.49,17.61,18.25,6910094.745874
2026-04-17,18.19,18.355,17.9675,18.1,5609680.808054
2026-04-20,17.8,17.81,17.5,17.8,5534982.446061
2026-04-21,17.45,17.51,17.09,17.21,6855475.475942
2026-04-22,17.07,17.105,16.93,16.97,5107753.573234
2026-04-23,16.26,16.31,15.695,15.9,16932379.34559
2026-04-24,16.3,16.67,16.175,16.66,7623744.204947
2026-04-27,16.5,16.995,16.41,16.56,5007076.550694
2026-04-28,15.96,16.2099,15.71,16.15,8781779.023823
2026-04-29,15.93,16.04,15.82,15.86,5257955.810358
2026-04-30,15.76,16.38,15.6,16.3,6352803.217065
2026-05-01,16.205,16.505,15.825,15.83,7634024.438888
2026-05-04,15.93,16.18,15.9,15.98,3405162.986283
2026-05-05,16.07,16.15,15.815,15.82,3136720.721624
2026-05-06,15.6,15.988,15.44,15.93,6253755.541722
2026-05-07,15.87,15.95,15.495,15.55,5520223.180901
2026-05-08,15.64,15.8,15.575,15.62,4292403.315071
2026-05-11,15.94,16.4,15.92,16.15,7301319.032832
2026-05-12,16.05,16.195,15.79,16.16,6148396.057197
2026-05-13,15.94,16.875,15.85,16.68,9599508.916585
2026-05-14,15.92,16.325,15.66,16.12,10558146.857816
2026-05-15,15.61,15.73,15.46,15.62,6580110.974306
2026-05-18,15.6,15.6,14.91,15.06,8205375.973107
2026-05-19,14.94,14.985,14.75,14.94,4608175.771507
2026-05-20,15.08,15.17,14.72,15.14,4829776.931016
2026-05-21,15.495,15.71,15.2319,15.63,5525706.984536
2026-05-22,15.28,15.62,15.06,15.59,8785653.083215
2026-05-26,16.51,16.855,16.41,16.55,11675410.419913
2026-05-27,16.07,16.545,16.0356,16.45,9277810.800114
2026-05-28,16.7,17.13,16.33,16.44,10785741.23618
2026-05-29,16.4,16.745,16.02,16.45,7287571.303309
2026-06-01,17.13,17.6299,17.06,17.2,9439744.272234
2026-06-02,18.07,18.19,17.855,17.89,10180737.578956
2026-06-03,17.175,17.635,17.175,17.46,5288830.465548
2026-06-04,17.0,17.17,16.81,16.81,4970021.683743
2026-06-05,16.5,16.6,15.87,15.95,5823495.651177
