date,open,high,low,close,volume
2026-02-06,55.05,56.42,54.81,55.97,8982901.0
2026-02-09,56.05,57.51,55.54,56.78,7350187.0
2026-02-10,57.16,58.5299,56.98,57.3,6007204.0
2026-02-11,57.46,57.46,53.37,53.81,9787330.0
2026-02-12,53.06,53.4,48.21,49.09,17158086.0
2026-02-13,49.685,50.41,48.89,49.8,10012014.0
2026-02-17,50.2162,51.34,49.58,50.81,9297041.0
2026-02-18,52.01,54.23,51.62,53.6,8434344.0
2026-02-19,53.03,53.42,52.2,52.89,7740866.0
2026-02-20,52.57,54.635,52.13,53.22,7318292.0
2026-02-23,52.05,52.52,50.01,50.75,13712901.333397
2026-02-24,50.4,51.77,49.33,51.0,9921169.725062
2026-02-25,51.655,52.06,50.6,51.94,7970966.918022
2026-02-26,51.84,54.805,51.799,54.53,18400435.691287
2026-02-27,63.09,66.12,61.2,63.7,40658065.292092
2026-03-02,60.01,64.97,59.6544,64.45,19625643.637101
2026-03-03,63.23,64.77,61.325,62.9,9733401.4793
2026-03-04,63.25,65.725,62.74,65.24,10400927.688286
2026-03-05,64.72,67.51,64.6,67.38,11851395.15051
2026-03-06,66.26,67.74,65.18,66.33,11047737.115035
2026-03-09,65.085,66.085,63.2641,65.54,7511189.166452
2026-03-10,66.0,66.7984,64.8272,65.6,5908822.784552
2026-03-11,65.95,67.25,63.41,64.63,9058946.476358
2026-03-12,63.7,65.07,59.745,59.9,8599785.735505
2026-03-13,60.65,61.45,59.67,59.79,7134187.92514
2026-03-16,60.56,60.78,59.3305,59.85,6082702.022316
2026-03-17,60.37,61.355,59.725,59.79,5615623.621805
2026-03-18,59.72,61.54,57.1549,57.84,9834766.4432
2026-03-19,57.24,59.387,57.12,58.99,6387320.873429
2026-03-20,58.56,60.4297,58.09,59.37,10017954.520508
2026-03-23,60.96,62.21,60.15,61.17,6577008.227355
2026-03-24,60.06,60.69,58.86,59.89,4684023.91241
2026-03-25,61.21,62.13,59.3,60.01,4585502.488511
2026-03-26,59.335,61.4,59.11,59.37,5610267.205957
2026-03-27,58.33,58.525,55.86,55.98,5513749.851854
2026-03-30,56.32,58.1092,56.32,57.03,5246449.633396
2026-03-31,58.225,60.57,57.8,60.18,7405327.084937
2026-04-01,61.17,61.425,59.45,59.54,5493454.482907
2026-04-02,58.0,60.02,56.75,59.78,6547132.312561
2026-04-06,59.92,61.74,59.885,60.68,3251383.344763
2026-04-07,60.37,60.93,59.43,59.97,3629426.837901
2026-04-08,63.64,65.4,62.38,62.83,7033068.775305
2026-04-09,62.67,62.93,59.65,62.69,5932350.648446
2026-04-10,62.86,63.0,60.855,62.2,6041073.584018
2026-04-13,61.09,64.31,60.635,64.22,5213653.180469
2026-04-14,64.8,66.42,64.59,66.15,5908060.612077
2026-04-15,67.0,68.33,66.1,67.97,4612274.269714
2026-04-16,68.46,69.17,67.34,68.67,3514862.521819
2026-04-17,70.04,72.18,69.9,71.26,6778758.531899
2026-04-20,71.04,73.935,71.04,73.89,5784316.321976
2026-04-21,74.1,75.23,71.6,71.75,6368307.844687
2026-04-22,72.54,73.43,71.89,72.5,3471863.414109
2026-04-23,71.5,71.63,68.51,69.93,3751559.920685
2026-04-24,70.34,72.115,69.62,71.63,3925679.493649
2026-04-27,70.87,72.38,70.38,71.28,3991183.283726
2026-04-28,71.23,71.68,69.5,69.54,4507406.857328
2026-04-29,69.4,69.97,67.8,69.46,4924816.081568
2026-04-30,69.83,70.65,68.28,70.51,4106183.414399
2026-05-01,71.44,72.55,71.11,71.81,3808840.407817
2026-05-04,71.92,73.46,71.5,71.9,4792248.870267
2026-05-05,70.65,72.47,69.93,71.25,4962895.702715
2026-05-06,71.69,71.94,69.9606,70.83,5229625.012855
2026-05-07,71.78,72.3,69.82,70.14,10022258.776848
2026-05-08,75.63,77.16,72.5,74.85,12878420.063323
2026-05-11,75.09,75.55,72.76,73.17,5319326.71505
2026-05-12,72.07,72.88,71.4,72.12,6222264.278296
2026-05-13,71.2,71.39,68.69,69.78,6467709.84724
2026-05-14,70.29,71.7,69.55,71.53,5270782.647693
2026-05-15,70.56,71.6,70.16,70.36,5109262.075799
2026-05-18,69.78,71.8,69.54,70.63,4806298.826128
2026-05-19,70.85,71.55,68.89,69.17,5723834.488253
2026-05-20,69.98,71.745,67.8,70.89,6427076.141474
2026-05-21,69.75,70.222,68.34,68.65,8496796.985918
2026-05-22,68.105,69.0,67.08,68.08,5632614.39906
