date,open,high,low,close,volume
2026-02-06,89.86,92.28,88.1001,92.2,3764161.0
2026-02-09,91.56,95.5,90.5,95.39,3782736.0
2026-02-10,95.57,96.52,94.43,94.99,3652384.0
2026-02-11,94.5,95.45,88.6,92.15,4822237.0
2026-02-12,91.725,93.6075,89.44,92.24,4352155.0
2026-02-13,92.3,92.91,89.892,92.6,3159818.0
2026-02-17,91.74,93.21,88.17,88.65,2808509.0
2026-02-18,88.82,91.54,88.02,91.12,3061557.0
2026-02-19,91.49,92.67,90.5,90.96,2938076.0
2026-02-20,90.44,93.07,89.63,90.29,3061406.0
2026-02-23,89.495,89.495,82.79,86.06,6187491.435021
2026-02-24,86.0,90.54,85.9,87.51,4186384.702292
2026-02-25,86.785,87.275,84.5,85.43,6915073.606897
2026-02-26,79.0,80.25,72.93,75.54,16824703.917148
2026-02-27,73.975,75.115,72.69,73.94,7572131.103868
2026-03-02,72.51,74.24,71.74,72.72,5796943.988817
2026-03-03,70.89,74.66,70.7,73.5,4513665.418441
2026-03-04,73.5,78.45,73.5,78.02,7805088.54597
2026-03-05,77.71,79.38,77.0,77.33,5586128.021539
2026-03-06,76.47,77.78,75.88,77.5,4475286.944072
2026-03-09,76.34,77.63,75.8019,77.06,3374390.98987
2026-03-10,78.24,78.24,74.82,76.38,3364087.308763
2026-03-11,76.38,77.94,74.9,76.05,3513132.954304
2026-03-12,75.81,77.38,74.86,74.94,2932973.883256
2026-03-13,74.94,75.66,73.63,74.1,2743048.557153
2026-03-16,74.7,75.92,74.33,74.96,2988299.389106
2026-03-17,75.21,77.2,74.815,75.99,2205969.045265
2026-03-18,75.33,77.17,75.33,76.43,2671310.483944
2026-03-19,75.67,77.07,75.35,76.74,2838950.557078
2026-03-20,76.54,77.515,74.855,76.61,5476049.602202
2026-03-23,77.13,78.64,76.03,77.95,3237500.107705
2026-03-24,77.55,77.55,75.45,75.98,3780485.916531
2026-03-25,77.0,78.55,76.03,78.11,3781461.425356
2026-03-26,78.25,81.095,78.165,79.32,4250878.815121
2026-03-27,78.502,79.115,77.16,77.71,3466555.756297
2026-03-30,77.41,79.19,77.06,78.68,3713125.789438
2026-03-31,79.05,80.595,77.985,80.39,4145220.821372
2026-04-01,80.9,81.37,78.91,80.7,2856909.469201
2026-04-02,80.0,82.4,79.17,82.36,2834395.464851
2026-04-06,82.03,83.02,81.23,82.68,2718822.595238
2026-04-07,82.89,85.29,82.83,84.02,4057396.343795
2026-04-08,85.8,86.34,82.88,83.23,4068667.697151
2026-04-09,83.27,84.48,81.9,84.03,4919391.45576
2026-04-10,84.01,84.06,77.015,79.24,6056079.508128
2026-04-13,79.86,82.88,79.24,82.8,4634649.030309
2026-04-14,83.5,84.64,81.23,82.4,3562854.33487
2026-04-15,83.855,89.46,83.33,89.03,6063811.329041
2026-04-16,90.0,90.5,86.0801,86.68,5060935.325774
2026-04-17,88.82,89.1,87.11,88.02,3633921.131659
2026-04-20,89.08,90.69,88.11,90.56,3529160.30506
2026-04-21,92.75,94.505,90.69,90.96,4838150.310318
2026-04-22,92.7,93.51,89.5,91.92,3490840.649556
2026-04-23,90.24,90.6,87.19,90.01,3810938.891781
2026-04-24,90.51,93.2099,89.545,92.03,4255189.555277
2026-04-27,91.08,92.0,89.7125,90.83,3885360.784457
2026-04-28,91.27,92.38,90.27,91.14,3053679.406123
2026-04-29,91.685,96.51,91.02,95.76,6815835.316279
2026-04-30,95.5,97.8,93.49,97.15,7949194.917646
2026-05-01,99.0,104.14,98.81,103.44,5825876.319792
2026-05-04,103.55,107.91,103.21,106.63,5501948.732554
2026-05-05,107.015,109.5,105.33,109.1,4238453.25743
2026-05-06,106.744,108.26,104.61,105.13,6186848.210571
2026-05-07,107.65,108.92,105.33,108.36,4750595.896731
2026-05-08,108.25,109.41,105.22,109.21,3771231.248488
2026-05-11,109.305,111.56,105.46,107.12,4110327.952705
2026-05-12,106.36,106.655,102.22,102.96,4890053.13694
2026-05-13,103.48,103.96,101.51,102.43,3479109.51752
2026-05-14,102.58,102.9,97.81,98.23,6261210.796652
2026-05-15,98.6,102.47,98.52,100.16,6579314.750435
2026-05-18,99.5,100.44,98.28,98.87,6000225.697103
2026-05-19,98.21,100.49,97.03,97.39,5873296.946629
2026-05-20,96.46,99.59,95.71,99.42,4969435.877418
2026-05-21,99.0,100.0699,95.36,96.75,9122795.201687
2026-05-22,108.5,113.73,105.09,105.64,9632558.232153
